#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      0.32         0        10
0.999755            -671.931              451500

#        20         1      0.32         0   9.13242
0.999233            -671.851              451400

#        20         1      0.32         0   8.40336
0.999808            -671.946              451521

#        20         1      0.32         0    7.7821
0.999666            -671.925              451494

#        20         1      0.32         0   7.24638
0.399905            -591.973              350436

#        20         1      0.32         0   6.77966
0.995748            -671.091              450503

#        20         1      0.32         0   6.36943
0.999898            -671.966              451545

#        20         1      0.32         0   6.00601
0.999852            -671.953              451530

#        20         1      0.32         0   5.68182
9.39112e-05            -591.964              350425

#        20         1      0.32         0   5.39084
0.99975            -671.941              451514

#        20         1      0.32         0   5.12821
0.000230162             -591.94              350397

#        20         1      0.32         0   4.88998
0.999871            -671.962              451541

#        20         1      0.32         0    4.6729
0.999752            -671.949              451523

#        20         1      0.32         0   4.47427
0.999802            -671.951              451528

#        20         1      0.32         0   4.29185
0.999929            -671.973              451555

#        20         1      0.32         0   4.12371
0.999863             -671.96              451539

#        20         1      0.32         0   3.96825
0.0372134            -591.785              350213

#        20         1      0.32         0   3.82409
0.999885             -671.96              451539

#        20         1      0.32         0   3.69004
0.133297            -591.655              350060

#        20         1      0.32         0   3.56506
0.209598            -591.555              349942

#        20         1      0.32         0   3.44828
0.999939            -671.972              451553

#        20         1      0.32         0    3.3389
0.484752            -591.351              349701

#        20         1      0.32         0   3.23625
0.999755            -671.932              451504

#        20         1      0.32         0   3.13972
0.999869            -671.951              451526

#        20         1      0.32         0   3.04878
0.999677            -671.921              451487

#        20         1      0.32         0   2.96296
0.800733            -649.212              422818

#        20         1      0.32         0   2.88184
0.999675            -671.899              451459

#        20         1      0.32         0   2.80505
0.999899            -671.929              451495

#        20         1      0.32         0   2.73224
0.999872            -671.907              451467

#        20         1      0.32         0   2.66312
0.999825            -671.884              451436

#        20         1      0.32         0    2.5974
0.999844             -671.87              451417

#        20         1      0.32         0   2.53485
0.891983            -660.256              436778

#        20         1      0.32         0   2.47525
0.969447            -667.414              445799

#        20         1      0.32         0   2.41838
0.999702            -671.744              451251

#        20         1      0.32         0   2.36407
0.999637            -671.713              451208

#        20         1      0.32         0   2.31214
0.999662            -671.661              451136

#        20         1      0.32         0   2.26244
0.925577            -663.698              441123

#        20         1      0.32         0   2.21484
0.999435            -671.514              450942

#        20         1      0.32         0    2.1692
0.975273             -668.59              447265

#        20         1      0.32         0    2.1254
0.953816             -666.19              444250

#        20         1      0.32         0   2.08333
0.999435            -671.265              450608

#        20         1      0.32         0    2.0429
0.999262            -671.136              450435

#        20         1      0.32         0   2.00401
0.999295            -671.035              450297

#        20         1      0.32         0   1.96657
