#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.77         0        10
0.99715            -91.6036             8422.66

#        20         1      1.77         0   9.13242
0.997577            -91.6876             8433.42

#        20         1      1.77         0   8.40336
0.9993            -91.8924             8452.44

#        20         1      1.77         0    7.7821
0.999197             -91.882             8452.82

#        20         1      1.77         0   7.24638
0.998855             -91.848             8448.53

#        20         1      1.77         0   6.77966
0.000221816            -42.7395             1828.51

#        20         1      1.77         0   6.36943
0.999722            -91.9515              8460.1

#        20         1      1.77         0   6.00601
0.998929            -91.8804              8451.9

#        20         1      1.77         0   5.68182
0.999916            -91.9784             8462.59

#        20         1      1.77         0   5.39084
0.999682            -91.9445             8459.04

#        20         1      1.77         0   5.12821
0.999619            -91.9331             8456.95

#        20         1      1.77         0   4.88998
0.463721            -57.5279             3841.35

#        20         1      1.77         0    4.6729
0.999753            -91.9361             8456.87

#        20         1      1.77         0   4.47427
0.999744            -91.9214             8453.67

#        20         1      1.77         0   4.29185
0.999857            -91.9197             8452.15

#        20         1      1.77         0   4.12371
0.999437            -91.8541              8442.2

#        20         1      1.77         0   3.96825
0.999775            -91.8495             8439.29

#        20         1      1.77         0   3.82409
0.930271            -87.0275             7809.06

#        20         1      1.77         0   3.69004
0.99967            -91.7419             8419.45

#        20         1      1.77         0   3.56506
0.99924            -91.6152             8400.43

#        20         1      1.77         0   3.44828
0.998867             -91.491             8378.89

#        20         1      1.77         0    3.3389
0.999259            -91.4366             8364.92

#        20         1      1.77         0   3.23625
0.998928            -91.2572             8334.77

#        20         1      1.77         0   3.13972
0.998726            -91.0965             8304.98

#        20         1      1.77         0   3.04878
0.9777            -89.4079             8086.77

#        20         1      1.77         0   2.96296
0.998329            -90.6687             8227.99

#        20         1      1.77         0   2.88184
0.994265            -90.0965             8142.06

#        20         1      1.77         0   2.80505
0.99766            -90.0877             8124.15

#        20         1      1.77         0   2.73224
0.993835            -89.4413             8027.08

#        20         1      1.77         0   2.66312
0.99683            -89.3369             7990.66

#        20         1      1.77         0    2.5974
0.99616            -88.8876             7913.07

#        20         1      1.77         0   2.53485
0.995597            -88.3837              7824.6

#        20         1      1.77         0   2.47525
0.995044            -87.8428             7729.59

#        20         1      1.77         0   2.41838
0.994219             -87.228             7624.17

#        20         1      1.77         0   2.36407
0.980374            -85.5208             7400.89

#        20         1      1.77         0   2.31214
0.992535            -85.8516             7389.79

#        20         1      1.77         0   2.26244
0.991063            -84.9361             7238.51

#        20         1      1.77         0   2.21484
0.990167            -84.1108             7102.09

#        20         1      1.77         0    2.1692
0.989294            -83.2378             6953.25

#        20         1      1.77         0    2.1254
0.986736            -82.1013              6777.8

#        20         1      1.77         0   2.08333
0.986432            -81.1331             6615.53

#        20         1      1.77         0    2.0429
0.984881            -79.9372             6425.46

#        20         1      1.77         0   2.00401
0.983276            -78.6533             6224.44

#        20         1      1.77         0   1.96657
0.978311            -77.0233             5997.11

#        20         1      1.77         0    1.9305
0.979449            -75.8532             5800.23

#        20         1      1.77         0   1.89573
0.977316            -74.3264             5575.62

#        20         1      1.77         0    1.8622
0.975397            -72.7978             5353.21

#        20         1      1.77         0   1.82983
0.972811            -71.0642             5110.01

#        20         1      1.77         0   1.79856
0.97027            -69.2013             4853.54

#        20         1      1.77         0   1.76835
0.965761            -67.1308             4589.02

#        20         1      1.77         0   1.73913
0.964727             -65.375             4348.83

#        20         1      1.77         0   1.71086
0.960548            -63.2183             4088.42

#        20         1      1.77         0    1.6835
0.958297            -61.0564             3816.96

#        20         1      1.77         0     1.657
0.954803            -58.6871             3539.26

#        20         1      1.77         0   1.63132
0.95101            -56.2842             3269.48

#        20         1      1.77         0   1.60643
0.9468            -53.7079              2996.3

#        20         1      1.77         0   1.58228
0.942741            -51.2071             2740.68

#        20         1      1.77         0   1.55885
0.938541            -48.4964             2475.86

#        20         1      1.77         0    1.5361
0.933591            -45.5324              2207.6

#        20         1      1.77         0     1.514
0.928651            -42.6125             1959.22

#        20         1      1.77         0   1.49254
0.923595             -39.637             1722.52

#        20         1      1.77         0   1.47167
0.916768            -36.3514             1493.39

#        20         1      1.77         0   1.45138
0.912168            -33.1886             1273.82

#        20         1      1.77         0   1.43164
0.905674            -29.7003             1063.15

#        20         1      1.77         0   1.41243
0.899032            -26.1891             881.049

#        20         1      1.77         0   1.39373
0.892412            -22.6451             714.624

#        20         1      1.77         0   1.37552
0.885586            -19.0226              573.99

#        20         1      1.77         0   1.35777
0.877783            -15.2287             459.283

#        20         1      1.77         0   1.34048
0.869563            -11.1692             360.918

#        20         1      1.77         0   1.32363
0.861894            -7.34934             298.454

#        20         1      1.77         0   1.30719
0.852232            -3.18533              276.22

#        20         1      1.77         0   1.29116
0.843387             1.03636             276.111

#        20         1      1.77         0   1.27551
0.83386             5.32066             314.288

#        20         1      1.77         0   1.26024
0.823869             9.58853             387.056

#        20         1      1.77         0   1.24533
0.813346             14.1359             509.172

#        20         1      1.77         0   1.23077
0.801694              18.722             674.032

#        20         1      1.77         0   1.21655
0.791375             22.9211             858.041

#        20         1      1.77         0   1.20265
0.777666             27.9181             1135.02

#        20         1      1.77         0   1.18906
0.764726             32.6573             1431.47

#        20         1      1.77         0   1.17578
0.74842             38.1265                1850

#        20         1      1.77         0   1.16279
0.734789             42.6848             2228.01

#        20         1      1.77         0   1.15009
0.718009               48.18             2738.78

#        20         1      1.77         0   1.13766
0.701889              53.105             3261.02

