#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1       1.3         0        10
0.997968            -279.714             78265.4

#        20         1       1.3         0   9.13242
0.999459            -279.894             78350.9

#        20         1       1.3         0   8.40336
0.200841            -211.945             44923.8

#        20         1       1.3         0    7.7821
0.999275            -279.857             78335.4

#        20         1       1.3         0   7.24638
0.29979            -211.935             44920.8

#        20         1       1.3         0   6.77966
0.999542            -279.915             78361.4

#        20         1       1.3         0   6.36943
0.999299             -279.89               78350

#        20         1       1.3         0   6.00601
0.0129327            -211.891             44900.2

#        20         1       1.3         0   5.68182
0.213494            -211.837             44878.1

#        20         1       1.3         0   5.39084
0.999811            -279.959             78381.8

#        20         1       1.3         0   5.12821
0.999781             -279.95             78378.8

#        20         1       1.3         0   4.88998
0.254234            -211.518             44743.9

#        20         1       1.3         0    4.6729
0.999615            -279.924             78365.8

#        20         1       1.3         0   4.47427
0.99992             -279.97             78387.8

#        20         1       1.3         0   4.29185
0.99969            -279.929             78368.5

#        20         1       1.3         0   4.12371
0.999374            -279.898             78352.4

#        20         1       1.3         0   3.96825
0.999489            -279.899             78352.5

#        20         1       1.3         0   3.82409
0.365485            -220.598             49335.6

#        20         1       1.3         0   3.69004
0.99971            -279.896             78349.4

#        20         1       1.3         0   3.56506
0.999778            -279.893             78345.3

#        20         1       1.3         0   3.44828
0.980308            -277.967             77405.9

#        20         1       1.3         0    3.3389
0.892776            -270.207             73631.3

#        20         1       1.3         0   3.23625
0.906464            -271.285             74158.6

#        20         1       1.3         0   3.13972
0.951687            -274.866             75898.4

#        20         1       1.3         0   3.04878
0.999645             -279.68             78226.3

#        20         1       1.3         0   2.96296
0.954367            -274.978             75949.5

#        20         1       1.3         0   2.88184
0.999253            -279.486             78121.5

#        20         1       1.3         0   2.80505
0.992572            -278.646             77707.8

#        20         1       1.3         0   2.73224
0.999047            -279.247             77988.3

#        20         1       1.3         0   2.66312
0.99902            -279.119             77915.6

#        20         1       1.3         0    2.5974
0.996043            -278.632             77670.8

#        20         1       1.3         0   2.53485
0.998846            -278.789             77730.2

#        20         1       1.3         0   2.47525
0.998558            -278.567             77608.5

#        20         1       1.3         0   2.41838
0.998398            -278.341             77482.5

#        20         1       1.3         0   2.36407
0.997724            -277.991             77295.6

#        20         1       1.3         0   2.31214
0.997756             -277.75             77156.9

#        20         1       1.3         0   2.26244
0.989285            -276.486             76534.7

#        20         1       1.3         0   2.21484
0.997088            -277.028             76758.4

#        20         1       1.3         0    2.1692
0.996768            -276.668             76558.4

#        20         1       1.3         0    2.1254
0.994393            -275.942             76181.3

#        20         1       1.3         0   2.08333
0.995895            -275.737             76048.4

#        20         1       1.3         0    2.0429
0.988273            -274.479             75419.4

#        20         1       1.3         0   2.00401
0.994545            -274.637             75449.8

#        20         1       1.3         0   1.96657
0.987729            -273.394             74825.6

#        20         1       1.3         0    1.9305
0.990843            -273.133             74655.3

#        20         1       1.3         0   1.89573
0.986595            -271.985             74065.6

#        20         1       1.3         0    1.8622
0.983576            -271.069             73589.6

#        20         1       1.3         0   1.82983
0.991571             -271.27             73616.7

#        20         1       1.3         0   1.79856
0.988772            -270.187             73055.5

#        20         1       1.3         0   1.76835
0.989785            -269.528             72681.1

#        20         1       1.3         0   1.73913
0.988743            -268.567             72168.9

#        20         1       1.3         0   1.71086
0.987963            -267.606             71652.4

#        20         1       1.3         0    1.6835
0.986725            -266.589             71117.5

#        20         1       1.3         0     1.657
0.972698            -264.093             69922.8

#        20         1       1.3         0   1.63132
0.984157             -264.34             69932.2

#        20         1       1.3         0   1.60643
0.983293            -263.195             69328.8

#        20         1       1.3         0   1.58228
0.981373             -261.93             68679.2

#        20         1       1.3         0   1.55885
0.98086            -260.737             68047.7

#        20         1       1.3         0    1.5361
0.978993            -259.261             67289.6

#        20         1       1.3         0     1.514
0.978046            -257.957             66614.5

#        20         1       1.3         0   1.49254
0.976475             -256.47             65853.9

#        20         1       1.3         0   1.47167
0.974909            -254.957             65087.6

#        20         1       1.3         0   1.45138
0.97194            -253.206             64215.2

#        20         1       1.3         0   1.43164
0.971545            -251.781               63487

#        20         1       1.3         0   1.41243
0.968463            -249.857             62541.7

#        20         1       1.3         0   1.39373
0.967813            -248.359             61785.8

#        20         1       1.3         0   1.37552
0.965851            -246.453             60848.5

#        20         1       1.3         0   1.35777
0.963987            -244.678             59981.5

#        20         1       1.3         0   1.34048
0.959987            -242.454             58926.4

#        20         1       1.3         0   1.32363
0.95479            -240.191             57874.3

#        20         1       1.3         0   1.30719
0.957308            -238.675             57102.7

#        20         1       1.3         0   1.29116
0.954352            -236.523             56092.6

#        20         1       1.3         0   1.27551
0.952698            -234.456               55118

#        20         1       1.3         0   1.26024
0.949828            -232.281             54115.3

#        20         1       1.3         0   1.24533
0.946829            -230.009             53079.4

#        20         1       1.3         0   1.23077
0.945157            -227.662             52000.6

#        20         1       1.3         0   1.21655
0.942517            -225.291             50932.6

#        20         1       1.3         0   1.20265
0.93971            -222.848             49845.4

#        20         1       1.3         0   1.18906
0.93616            -220.268               48720

#        20         1       1.3         0   1.17578
0.93389            -217.855             47662.4

#        20         1       1.3         0   1.16279
0.931033            -215.371             46593.4

#        20         1       1.3         0   1.15009
0.92786            -212.663               45442

#        20         1       1.3         0   1.13766
0.922939            -209.618             44188.3

#        20         1       1.3         0   1.12549
0.921051            -207.053             43109.4

#        20         1       1.3         0   1.11359
0.917887             -204.32             41992.8

#        20         1       1.3         0   1.10193
0.914232            -201.396             40819.1

#        20         1       1.3         0   1.09051
0.910121            -198.418             39647.9

#        20         1       1.3         0   1.07933
0.906946            -195.358             38443.9

#        20         1       1.3         0   1.06838
0.902905            -192.321             37283.3

#        20         1       1.3         0   1.05764
0.898757             -189.03               36038

#        20         1       1.3         0   1.04712
0.894908            -185.985             34908.6

#        20         1       1.3         0   1.03681
0.89087            -182.825             33754.2

#        20         1       1.3         0   1.02669
0.886795            -179.564             32582.3

#        20         1       1.3         0   1.01678
0.882391            -176.198             31400.6

#        20         1       1.3         0   1.00705
0.877802            -172.692             30188.1

#        20         1       1.3         0  0.997506
0.872662            -169.193             29009.4

#        20         1       1.3         0  0.988142
0.868417            -165.732             27858.1

#        20         1       1.3         0  0.978953
0.863161            -161.938             26635.8

#        20         1       1.3         0  0.969932
0.858142            -158.281             25475.6

#        20         1       1.3         0  0.961076
0.853087             -154.71             24370.9

#        20         1       1.3         0  0.952381
0.847746            -150.902             23225.7

#        20         1       1.3         0  0.943841
0.84111            -146.421               21915

#        20         1       1.3         0  0.935454
0.835918            -142.931             20924.1

#        20         1       1.3         0  0.927214
0.829265            -138.406             19667.2

#        20         1       1.3         0  0.919118
0.822638            -134.171             18538.7

#        20         1       1.3         0  0.911162
0.816458            -130.076             17477.2

#        20         1       1.3         0  0.903342
0.808654            -125.395             16311.1

#        20         1       1.3         0  0.895656
0.80199            -121.048             15251.1

#        20         1       1.3         0  0.888099
0.794609             -116.65             14237.4

#        20         1       1.3         0  0.880669
0.785713            -111.412             13063.2

#        20         1       1.3         0  0.873362
0.777558            -106.928             12119.3

#        20         1       1.3         0  0.866176
0.768352             -101.78             11081.6

#        20         1       1.3         0  0.859107
0.758698            -96.7069             10100.6

#        20         1       1.3         0  0.852152
0.748398            -91.5088             9179.88

#        20         1       1.3         0  0.845309
0.737776            -86.1978             8264.89

#        20         1       1.3         0  0.838574
0.724923             -80.358             7337.35

#        20         1       1.3         0  0.831947
0.712056            -74.5032             6467.47

#        20         1       1.3         0  0.825423
0.695155            -68.1256             5635.16

#        20         1       1.3         0  0.819001
0.674817            -60.9649             4786.81

#        20         1       1.3         0  0.812678
0.661832             -55.134              4145.2

#        20         1       1.3         0  0.806452
0.645821            -48.5373              3467.3

#        20         1       1.3         0   0.80032
0.613917            -39.9562             2817.41

#        20         1       1.3         0  0.794281
0.589087            -32.5616             2351.89

#        20         1       1.3         0  0.788333
0.556762            -24.2307             1926.23

#        20         1       1.3         0  0.782473
0.525804              -16.12             1581.23

#        20         1       1.3         0  0.776699
0.498583            -8.85438             1430.49

#        20         1       1.3         0   0.77101
0.469216            -1.53648             1293.99

#        20         1       1.3         0  0.765404
0.441155             5.42065             1315.21

#        20         1       1.3         0  0.759878
0.415837             11.9702             1353.55

#        20         1       1.3         0  0.754432
0.376399             19.6484             1543.46

#        20         1       1.3         0  0.749064
0.354198             25.7034             1761.27

#        20         1       1.3         0  0.743771
0.32983             31.5704             2027.14

#        20         1       1.3         0  0.738552
0.308737               36.68              2315.2

#        20         1       1.3         0  0.733407
0.293875             40.9922             2605.92

#        20         1       1.3         0  0.728332
0.268053              46.444             3015.85

#        20         1       1.3         0  0.723327
0.257745             50.1688             3337.06

#        20         1       1.3         0  0.718391
0.245833             53.8111             3689.87

#        20         1       1.3         0  0.713521
0.231548             58.0004             4094.54

#        20         1       1.3         0  0.708717
0.216886             61.7129             4497.88

#        20         1       1.3         0  0.703977
0.208683             64.3754             4809.21

#        20         1       1.3         0  0.699301
0.202217             67.3026             5183.74

#        20         1       1.3         0  0.694686
0.196696             70.1195             5546.49

#        20         1       1.3         0  0.690131
0.185333             73.3975             5997.04

#        20         1       1.3         0  0.685636
0.1777             76.1202             6381.77

#        20         1       1.3         0  0.681199
0.172731              78.529             6740.73

#        20         1       1.3         0  0.676819
0.166058             80.9268             7107.23

#        20         1       1.3         0  0.672495
0.160943             83.3006             7482.36

#        20         1       1.3         0  0.668226
0.153343              85.865             7901.32

#        20         1       1.3         0  0.664011
0.149173             87.8531             8235.14

#        20         1       1.3         0  0.659848
0.146815             90.0302             8617.84

#        20         1       1.3         0  0.655738
0.145446             91.9969              8961.4

#        20         1       1.3         0  0.651678
0.138839             94.1286             9351.14

#        20         1       1.3         0  0.647668
0.135893             96.0982             9716.53

#        20         1       1.3         0  0.643708
0.133424             97.9608             10069.4

#        20         1       1.3         0  0.639795
0.128974             99.8544             10438.6

#        20         1       1.3         0   0.63593
0.1278             101.494             10765.9

#        20         1       1.3         0  0.632111
0.123363             103.528             11169.7

#        20         1       1.3         0  0.628338
0.121891             104.943               11462

#        20         1       1.3         0   0.62461
0.119734             106.661             11815.7

#        20         1       1.3         0  0.620925
0.117785             108.067             12117.6

#        20         1       1.3         0  0.617284
0.113193             109.969             12521.4

#        20         1       1.3         0  0.613685
0.113199              111.28             12813.6

#        20         1       1.3         0  0.610128
0.111599             112.888             13165.7

#        20         1       1.3         0  0.606612
0.109344              114.55             13535.7

#        20         1       1.3         0  0.603136
0.105708             115.835             13833.3

#        20         1       1.3         0    0.5997
0.106459              117.21             14149.7

#        20         1       1.3         0  0.596303
0.104612             118.633             14484.6

#        20         1       1.3         0  0.592944
0.102374             120.078             14823.7

#        20         1       1.3         0  0.589623
0.100687             121.439             15150.6

#        20         1       1.3         0  0.586338
0.100325             122.682             15447.7

#        20         1       1.3         0   0.58309
0.0997704             123.856             15735.8

#        20         1       1.3         0  0.579878
0.0971844             125.181             16060.8

#        20         1       1.3         0  0.576701
0.0975038             126.305             16344.5

#        20         1       1.3         0  0.573559
0.0947602             127.737             16703.6

#        20         1       1.3         0  0.570451
0.0939037             128.748             16959.3

#        20         1       1.3         0  0.567376
0.0932904             130.027             17288.9

#        20         1       1.3         0  0.564334
0.0906819             131.194             17590.6

#        20         1       1.3         0  0.561325
0.0901292             132.277             17874.6

#        20         1       1.3         0  0.558347
0.0896615              133.47             18191.2

#        20         1       1.3         0  0.555401
0.0892828             134.589               18487

#        20         1       1.3         0  0.552486
0.0876939             135.668             18778.9

#        20         1       1.3         0  0.549602
0.0867531             136.885             19105.7

#        20         1       1.3         0  0.546747
0.0867931               137.7             19330.1

#        20         1       1.3         0  0.543922
0.0854998             138.689             19601.4

#        20         1       1.3         0  0.541126
0.0843842             139.935             19946.3

#        20         1       1.3         0  0.538358
0.0838932             140.721             20167.6

#        20         1       1.3         0  0.535619
0.083089             141.907             20499.4

#        20         1       1.3         0  0.532907
0.0827548             142.964             20802.7

#        20         1       1.3         0  0.530223
0.081937             143.681             21005.5

#        20         1       1.3         0  0.527565
0.0807418             144.774             21318.7

#        20         1       1.3         0  0.524934
0.0804175             145.735               21599

#        20         1       1.3         0   0.52233
0.0794423             146.714             21881.7

#        20         1       1.3         0  0.519751
0.0795405             147.424             22091.2

#        20         1       1.3         0  0.517197
0.0780345             148.514             22411.4

#        20         1       1.3         0  0.514668
0.0781779             149.272             22634.8

#        20         1       1.3         0  0.512164
0.0776946             150.293             22940.1

#        20         1       1.3         0  0.509684
0.0770388             151.029             23161.6

#        20         1       1.3         0  0.507228
0.0763269             151.919             23432.7

#        20         1       1.3         0  0.504796
0.0754377             152.934             23739.2

#        20         1       1.3         0  0.502386
0.0754253             153.664             23963.5

#        20         1       1.3         0       0.5
0.0747616             154.494             24216.6

