#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.41         0        10
0.195336            -172.149             29639.7

#        20         1      1.41         0   9.13242
0.201735            -172.174             29649.5

#        20         1      1.41         0   8.40336
0.00110491            -172.266             29679.9

#        20         1      1.41         0    7.7821
0.300349            -172.308             29692.7

#        20         1      1.41         0   7.24638
0.999947            -235.979               55690

#        20         1      1.41         0   6.77966
0.999696            -235.934             55672.1

#        20         1      1.41         0   6.36943
0.999587            -235.922             55665.5

#        20         1      1.41         0   6.00601
0.273999            -172.257             29675.9

#        20         1      1.41         0   5.68182
0.999835             -235.96             55681.8

#        20         1      1.41         0   5.39084
0.228605            -172.237             29668.7

#        20         1      1.41         0   5.12821
0.826285             -210.82               45424

#        20         1      1.41         0   4.88998
0.328908            -172.059             29607.7

#        20         1      1.41         0    4.6729
0.385167            -171.923             29560.8

#        20         1      1.41         0   4.47427
0.2498            -171.641             29463.9

#        20         1      1.41         0   4.29185
0.158523            -171.429             29391.5

#        20         1      1.41         0   4.12371
0.212851            -171.058             29266.1

#        20         1      1.41         0   3.96825
0.999744             -235.92             55662.9

#        20         1      1.41         0   3.82409
0.424727            -181.876             33714.8

#        20         1      1.41         0   3.69004
0.999405            -235.849             55633.6

#        20         1      1.41         0   3.56506
0.938417            -230.798             53587.4

#        20         1      1.41         0   3.44828
0.999536            -235.802             55609.3

#        20         1      1.41         0    3.3389
0.926466            -229.085             52898.6

#        20         1      1.41         0   3.23625
0.99958            -235.714             55568.3

#        20         1      1.41         0   3.13972
0.918863            -227.671               52336

#        20         1      1.41         0   3.04878
0.999484            -235.572             55500.3

#        20         1      1.41         0   2.96296
0.999116            -235.439             55441.6

#        20         1      1.41         0   2.88184
0.999282            -235.353               55397

#        20         1      1.41         0   2.80505
0.998835            -235.185               55322

#        20         1      1.41         0   2.73224
0.998822            -235.035               55251

#        20         1      1.41         0   2.66312
0.99335            -234.363             54971.9

#        20         1      1.41         0    2.5974
0.99832            -234.627             55062.1

#        20         1      1.41         0   2.53485
0.99824             -234.41             54958.7

#        20         1      1.41         0   2.47525
0.998088            -234.156             54839.2

#        20         1      1.41         0   2.41838
0.997828            -233.864             54704.9

#        20         1      1.41         0   2.36407
0.970284            -230.984             53556.9

#        20         1      1.41         0   2.31214
0.997025            -233.179             54386.3

#        20         1      1.41         0   2.26244
0.996757             -232.79             54205.1

#        20         1      1.41         0   2.21484
0.996277            -232.328             53991.8

#        20         1      1.41         0    2.1692
0.995655            -231.839             53767.6

#        20         1      1.41         0    2.1254
0.995288            -231.331             53531.1

#        20         1      1.41         0   2.08333
0.989441            -230.123             53029.3

#        20         1      1.41         0    2.0429
0.994137            -230.193             53008.9

#        20         1      1.41         0   2.00401
0.993465            -229.489             52686.9

#        20         1      1.41         0   1.96657
0.992629            -228.735             52345.3

#        20         1      1.41         0    1.9305
0.991573            -227.984             52007.8

#        20         1      1.41         0   1.89573
0.990948            -227.187             51644.4

#        20         1      1.41         0    1.8622
0.989313            -226.237             51224.8

#        20         1      1.41         0   1.82983
0.988836            -225.413             50850.7

#        20         1      1.41         0   1.79856
0.987979            -224.424             50405.7

#        20         1      1.41         0   1.76835
0.986853            -223.429             49965.2

#        20         1      1.41         0   1.73913
0.985738            -222.374             49497.9

#        20         1      1.41         0   1.71086
0.979859            -220.712               48806

#        20         1      1.41         0    1.6835
0.983559            -220.051             48471.9

#        20         1      1.41         0     1.657
0.979144            -218.342               47762

#        20         1      1.41         0   1.63132
0.980667            -217.454             47345.6

#        20         1      1.41         0   1.60643
0.979284            -216.109             46764.4

#        20         1      1.41         0   1.58228
0.977435            -214.606             46124.4

#        20         1      1.41         0   1.55885
0.975771            -213.177             45518.6

#        20         1      1.41         0    1.5361
0.974185            -211.571             44840.3

#        20         1      1.41         0     1.514
0.972447            -209.943             44156.4

#        20         1      1.41         0   1.49254
0.970707            -208.325               43484

#        20         1      1.41         0   1.47167
0.968715            -206.644             42793.7

#        20         1      1.41         0   1.45138
0.963313            -204.352             41888.1

#        20         1      1.41         0   1.43164
0.964511            -202.881               41263

#        20         1      1.41         0   1.41243
0.962316            -200.955             40491.6

#        20         1      1.41         0   1.39373
0.959694            -198.951             39703.3

#        20         1      1.41         0   1.37552
0.957512            -196.863             38876.3

#        20         1      1.41         0   1.35777
0.954863            -194.695             38036.7

#        20         1      1.41         0   1.34048
0.952413            -192.592             37228.1

#        20         1      1.41         0   1.32363
0.949759            -190.355             36377.1

#        20         1      1.41         0   1.30719
0.947018            -188.017             35500.8

#        20         1      1.41         0   1.29116
0.944249            -185.751             34661.7

#        20         1      1.41         0   1.27551
0.941216            -183.241             33743.5

