#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1       1.2         0        10
0.999788            -319.945              102371

#        20         1       1.2         0   9.13242
0.999674            -319.928              102363

#        20         1       1.2         0   8.40336
0.999407            -319.902              102349

#        20         1       1.2         0    7.7821
0.100091            -247.958             61486.2

#        20         1       1.2         0   7.24638
0.999868            -319.961              102381

#        20         1       1.2         0   6.77966
0.0293576            -247.914             61464.6

#        20         1       1.2         0   6.36943
0.999869            -319.965              102383

#        20         1       1.2         0   6.00601
0.999775            -319.954              102377

#        20         1       1.2         0   5.68182
0.999922            -319.975              102389

#        20         1       1.2         0   5.39084
0.999686            -319.933              102367

#        20         1       1.2         0   5.12821
0.0656334            -247.494             61257.3

#        20         1       1.2         0   4.88998
0.999787            -319.953              102376

#        20         1       1.2         0    4.6729
0.999898            -319.968              102385

#        20         1       1.2         0   4.47427
0.999894            -319.967              102384

#        20         1       1.2         0   4.29185
0.99981            -319.948              102374

#        20         1       1.2         0   4.12371
0.999757            -319.938              102368

#        20         1       1.2         0   3.96825
0.728076             -289.97             85433.1

#        20         1       1.2         0   3.82409
0.999861            -319.944              102369

#        20         1       1.2         0   3.69004
0.999823            -319.926              102359

#        20         1       1.2         0   3.56506
0.76719            -298.842             90484.4

#        20         1       1.2         0   3.44828
0.999838            -319.905              102343

#        20         1       1.2         0    3.3389
0.879816            -308.088             95704.5

#        20         1       1.2         0   3.23625
0.999433            -319.798              102280

#        20         1       1.2         0   3.13972
0.999796            -319.811              102283

#        20         1       1.2         0   3.04878
0.999551            -319.726              102233

#        20         1       1.2         0   2.96296
0.999549            -319.674              102199

#        20         1       1.2         0   2.88184
0.999503            -319.601              102152

#        20         1       1.2         0   2.80505
0.976466            -317.241              100830

#        20         1       1.2         0   2.73224
0.991097             -318.33              101429

#        20         1       1.2         0   2.66312
0.999125            -319.283              101952

#        20         1       1.2         0    2.5974
0.999199            -319.174              101879

#        20         1       1.2         0   2.53485
0.99907             -319.02              101781

#        20         1       1.2         0   2.47525
0.998743            -318.822              101657

#        20         1       1.2         0   2.41838
0.998702            -318.635              101538

#        20         1       1.2         0   2.36407
0.983296            -316.822              100520

#        20         1       1.2         0   2.31214
0.998285             -318.16              101236

#        20         1       1.2         0   2.26244
0.984665            -316.436              100267

#        20         1       1.2         0   2.21484
0.997684            -317.568              100862

#        20         1       1.2         0    2.1692
0.997233            -317.207              100636

#        20         1       1.2         0    2.1254
0.997017             -316.86              100416

#        20         1       1.2         0   2.08333
0.996522             -316.42              100140

#        20         1       1.2         0    2.0429
0.996371            -316.031             99890.9

#        20         1       1.2         0   2.00401
0.995909            -315.554             99591.7

#        20         1       1.2         0   1.96657
0.995354            -315.055             99280.3

#        20         1       1.2         0    1.9305
0.994732            -314.438             98894.5

#        20         1       1.2         0   1.89573
0.990061            -313.258             98214.5

#        20         1       1.2         0    1.8622
0.993744            -313.267             98160.5

#        20         1       1.2         0   1.82983
0.992421             -312.48             97682.4

#        20         1       1.2         0   1.79856
0.991893            -311.802               97258

#        20         1       1.2         0   1.76835
0.991312            -311.033             96778.7

#        20         1       1.2         0   1.73913
0.988169            -310.002             96166.4

#        20         1       1.2         0   1.71086
0.990251            -309.518             95837.5

#        20         1       1.2         0    1.6835
0.989144            -308.578             95262.3

#        20         1       1.2         0     1.657
0.987848            -307.509             94612.4

#        20         1       1.2         0   1.63132
0.987199             -306.57             94035.6

#        20         1       1.2         0   1.60643
0.986379            -305.539               93404

#        20         1       1.2         0   1.58228
0.985221            -304.487               92769

#        20         1       1.2         0   1.55885
0.984153            -303.339             92074.5

#        20         1       1.2         0    1.5361
0.983116            -302.146             91352.9

#        20         1       1.2         0     1.514
0.981586            -300.876             90597.9

#        20         1       1.2         0   1.49254
0.980628            -299.588             89821.3

#        20         1       1.2         0   1.47167
0.977862            -298.013             88901.9

#        20         1       1.2         0   1.45138
0.978047            -296.934             88245.2

#        20         1       1.2         0   1.43164
0.972661             -294.89             87085.4

#        20         1       1.2         0   1.41243
0.974845            -293.876             86451.9

#        20         1       1.2         0   1.39373
0.97344            -292.342             85558.6

#        20         1       1.2         0   1.37552
0.971797            -290.732             84622.9

#        20         1       1.2         0   1.35777
0.970187            -289.061             83657.4

