#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1       0.9         0        10
0.199933            -359.983              129590

#        20         1       0.9         0   9.13242
0.999966            -439.984              193590

#        20         1       0.9         0   8.40336
0.099956            -359.962              129576

#        20         1       0.9         0    7.7821
0.300028            -359.945              129563

#        20         1       0.9         0   7.24638
0.999787            -439.952              193565

#        20         1       0.9         0   6.77966
0.99984            -439.959              193571

#        20         1       0.9         0   6.36943
0.435953              -359.8              129460

#        20         1       0.9         0   6.00601
0.203009            -359.699              129386

#        20         1       0.9         0   5.68182
0.967445            -434.583              189527

#        20         1       0.9         0   5.39084
0.999882            -439.966              193577

#        20         1       0.9         0   5.12821
0.999764            -439.947              193563

#        20         1       0.9         0   4.88998
0.262857            -358.758              128711

#        20         1       0.9         0    4.6729
0.999871            -439.963              193574

#        20         1       0.9         0   4.47427
0.999712            -439.946              193561

#        20         1       0.9         0   4.29185
0.999909            -439.971              193580

#        20         1       0.9         0   4.12371
0.939461            -432.905              187949

#        20         1       0.9         0   3.96825
0.9626            -434.813              189471

#        20         1       0.9         0   3.82409
0.999807             -439.95              193563

#        20         1       0.9         0   3.69004
0.815541            -421.053              178533

#        20         1       0.9         0   3.56506
0.99987            -439.948              193561

#        20         1       0.9         0   3.44828
0.999881            -439.947              193559

#        20         1       0.9         0    3.3389
0.999729            -439.915              193534

#        20         1       0.9         0   3.23625
0.999898            -439.924              193538

#        20         1       0.9         0   3.13972
0.999854            -439.899              193517

#        20         1       0.9         0   3.04878
0.976046            -437.389              191528

#        20         1       0.9         0   2.96296
0.999814            -439.846              193470

#        20         1       0.9         0   2.88184
0.999772            -439.811              193440

#        20         1       0.9         0   2.80505
0.999773            -439.768              193402

#        20         1       0.9         0   2.73224
0.999524            -439.683              193331

#        20         1       0.9         0   2.66312
0.997606            -439.357              193068

#        20         1       0.9         0    2.5974
0.999641            -439.582              193238

#        20         1       0.9         0   2.53485
0.999521            -439.501              193167

#        20         1       0.9         0   2.47525
0.999473              -439.4              193079

#        20         1       0.9         0   2.41838
0.999277            -439.261              192958

#        20         1       0.9         0   2.36407
0.997124            -438.868              192639

#        20         1       0.9         0   2.31214
0.99903             -438.98              192713

#        20         1       0.9         0   2.26244
0.998914            -438.816              192570

#        20         1       0.9         0   2.21484
0.980832             -436.39              190650

#        20         1       0.9         0    2.1692
0.998657            -438.427              192228

#        20         1       0.9         0    2.1254
0.998475            -438.201              192031

#        20         1       0.9         0   2.08333
0.996624            -437.764              191671

#        20         1       0.9         0    2.0429
0.998071            -437.685              191581

#        20         1       0.9         0   2.00401
0.997584            -437.349              191291

#        20         1       0.9         0   1.96657
0.997508            -437.054              191032

#        20         1       0.9         0    1.9305
0.993651            -436.245              190369

#        20         1       0.9         0   1.89573
0.99412            -435.989              190137

#        20         1       0.9         0    1.8622
0.989696            -435.127              189429

#        20         1       0.9         0   1.82983
0.995529            -435.306              189529

#        20         1       0.9         0   1.79856
0.995818            -434.971              189223

#        20         1       0.9         0   1.76835
0.995459            -434.477              188793

#        20         1       0.9         0   1.73913
0.994736            -433.902              188303

#        20         1       0.9         0   1.71086
0.994417            -433.324              187800

#        20         1       0.9         0    1.6835
0.993976             -432.73              187284

#        20         1       0.9         0     1.657
0.99348              -432.1              186741

#        20         1       0.9         0   1.63132
0.992823            -431.373              186116

#        20         1       0.9         0   1.60643
0.992026            -430.615              185468

#        20         1       0.9         0   1.58228
0.991511            -429.873              184830

#        20         1       0.9         0   1.55885
0.990723            -429.098              184170

#        20         1       0.9         0    1.5361
0.978027            -426.836              182377

#        20         1       0.9         0     1.514
0.989286            -427.333              182664

#        20         1       0.9         0   1.49254
0.985103            -425.992              181564

#        20         1       0.9         0   1.47167
0.984131            -424.892              180644

#        20         1       0.9         0   1.45138
0.986452            -424.367              180154

#        20         1       0.9         0   1.43164
0.983829            -423.086              179095

#        20         1       0.9         0   1.41243
0.985239            -422.433              178514

#        20         1       0.9         0   1.39373
0.98418            -421.182              177463

#        20         1       0.9         0   1.37552
0.983187            -419.989              176463

#        20         1       0.9         0   1.35777
0.978987            -418.354              175140

#        20         1       0.9         0   1.34048
0.979418            -417.295              174239

#        20         1       0.9         0   1.32363
0.977284            -415.848              173054

#        20         1       0.9         0   1.30719
0.97853            -414.806              172161

#        20         1       0.9         0   1.29116
0.977407              -413.5              171082

#        20         1       0.9         0   1.27551
0.976202            -412.004              169850

#        20         1       0.9         0   1.26024
0.974464            -410.411              168556

#        20         1       0.9         0   1.24533
0.97352            -408.983              167379

#        20         1       0.9         0   1.23077
0.972043            -407.335              166039

#        20         1       0.9         0   1.21655
0.969693            -405.557              164615

#        20         1       0.9         0   1.20265
0.969087            -404.016              163359

#        20         1       0.9         0   1.18906
0.966907            -402.308              162002

#        20         1       0.9         0   1.17578
0.965866            -400.508              160552

#        20         1       0.9         0   1.16279
0.962535            -398.507              158988

#        20         1       0.9         0   1.15009
0.962564            -396.859              157657

#        20         1       0.9         0   1.13766
0.960908            -394.967              156165

#        20         1       0.9         0   1.12549
0.95914            -392.998              154621

#        20         1       0.9         0   1.11359
0.95735            -390.957              153022

#        20         1       0.9         0   1.10193
0.953053            -388.632              151258

#        20         1       0.9         0   1.09051
0.953558            -386.854              149849

#        20         1       0.9         0   1.07933
0.951524            -384.707              148203

#        20         1       0.9         0   1.06838
0.949433            -382.436              146470

#        20         1       0.9         0   1.05764
0.94524            -379.888              144568

#        20         1       0.9         0   1.04712
0.945008            -377.871              143020

#        20         1       0.9         0   1.03681
0.942921            -375.504              141244

#        20         1       0.9         0   1.02669
0.940449            -373.054              139422

#        20         1       0.9         0   1.01678
0.938315            -370.698              137678

#        20         1       0.9         0   1.00705
0.935874            -368.106              135771

#        20         1       0.9         0  0.997506
0.933216            -365.515              133886

#        20         1       0.9         0  0.988142
0.93081            -362.939              132016

#        20         1       0.9         0  0.978953
0.92829            -360.299              130117

#        20         1       0.9         0  0.969932
0.924811            -357.518              128150

#        20         1       0.9         0  0.961076
0.922855            -354.835              126237

#        20         1       0.9         0  0.952381
0.92013            -352.025              124258

#        20         1       0.9         0  0.943841
0.917128            -349.092              122217

#        20         1       0.9         0  0.935454
0.914124            -346.084              120143

#        20         1       0.9         0  0.927214
0.911197            -343.202              118164

#        20         1       0.9         0  0.919118
0.908026             -340.13              116085

#        20         1       0.9         0  0.911162
0.904808            -336.999              113981

#        20         1       0.9         0  0.903342
0.901198            -333.635              111738

