#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      0.44         0        10
0.99681            -623.409              388697

#        20         1      0.44         0   9.13242
0.599365            -543.872              295804

#        20         1      0.44         0   8.40336
0.100037            -543.973              295909

#        20         1      0.44         0    7.7821
0.399758            -543.928              295863

#        20         1      0.44         0   7.24638
0.998885            -623.804              389154

#        20         1      0.44         0   6.77966
0.999814            -623.941              389312

#        20         1      0.44         0   6.36943
0.099955            -543.933              295868

#        20         1      0.44         0   6.00601
0.999651            -623.918              389285

#        20         1      0.44         0   5.68182
0.999668            -623.932              389300

#        20         1      0.44         0   5.39084
0.999813            -623.942              389315

#        20         1      0.44         0   5.12821
0.136863            -543.915              295847

#        20         1      0.44         0   4.88998
0.999797            -623.946              389317

#        20         1      0.44         0    4.6729
0.00028772            -543.866              295794

#        20         1      0.44         0   4.47427
0.999983            -623.988              389365

#        20         1      0.44         0   4.29185
0.999886            -623.964              389338

#        20         1      0.44         0   4.12371
0.291769            -543.741              295658

#        20         1      0.44         0   3.96825
0.999731            -623.939              389309

#        20         1      0.44         0   3.82409
0.999747            -623.942              389313

#        20         1      0.44         0   3.69004
0.999831            -623.953              389324

#        20         1      0.44         0   3.56506
0.999468            -623.904              389269

#        20         1      0.44         0   3.44828
0.999873            -623.959              389331

#        20         1      0.44         0    3.3389
0.682678            -579.502              337455

#        20         1      0.44         0   3.23625
0.999814            -623.945              389315

#        20         1      0.44         0   3.13972
0.76645            -588.413              347865

#        20         1      0.44         0   3.04878
0.48826            -559.454              314105

#        20         1      0.44         0   2.96296
0.7976            -601.133              362716

#        20         1      0.44         0   2.88184
0.999934            -623.934              389298

#        20         1      0.44         0   2.80505
0.999775            -623.885              389242

#        20         1      0.44         0   2.73224
0.999888             -623.89              389245

#        20         1      0.44         0   2.66312
0.999743            -623.844              389191

#        20         1      0.44         0    2.5974
0.999714            -623.817              389158

#        20         1      0.44         0   2.53485
0.999418            -623.744              389071

#        20         1      0.44         0   2.47525
0.999635            -623.743              389064

#        20         1      0.44         0   2.41838
0.999707            -623.701              389012

#        20         1      0.44         0   2.36407
0.999643            -623.641              388937

#        20         1      0.44         0   2.31214
0.999604            -623.576              388856

#        20         1      0.44         0   2.26244
0.999365            -623.478              388737

#        20         1      0.44         0   2.21484
0.908166            -613.359              377008

#        20         1      0.44         0    2.1692
0.999457            -623.327              388545

#        20         1      0.44         0    2.1254
0.985337             -621.55              386483

#        20         1      0.44         0   2.08333
0.999279             -623.09              388253

#        20         1      0.44         0    2.0429
0.999216             -622.96              388088

#        20         1      0.44         0   2.00401
0.999068            -622.813              387907

#        20         1      0.44         0   1.96657
0.975703             -619.86              384487

#        20         1      0.44         0    1.9305
0.998731            -622.463              387475

#        20         1      0.44         0   1.89573
0.974989            -619.596              384157

#        20         1      0.44         0    1.8622
0.998548            -622.037              386943

#        20         1      0.44         0   1.82983
0.998395            -621.825              386682

#        20         1      0.44         0   1.79856
0.969068            -617.888              382139

#        20         1      0.44         0   1.76835
0.971687            -618.131              382393

#        20         1      0.44         0   1.73913
0.9978            -620.954              385601

#        20         1      0.44         0   1.71086
0.997505            -620.645              385221

#        20         1      0.44         0    1.6835
0.997234             -620.26              384745

#        20         1      0.44         0     1.657
0.983209            -617.881              381996

#        20         1      0.44         0   1.63132
0.99454            -619.203              383466

#        20         1      0.44         0   1.60643
0.992885            -618.504              382629

#        20         1      0.44         0   1.58228
0.993673            -618.196              382264

#        20         1      0.44         0   1.55885
0.995712            -618.137              382122

#        20         1      0.44         0    1.5361
0.995212            -617.614              381483

#        20         1      0.44         0     1.514
0.994797            -617.107              380859

#        20         1      0.44         0   1.49254
0.994518            -616.526              380140

#        20         1      0.44         0   1.47167
0.994048            -615.898              379371

#        20         1      0.44         0   1.45138
0.993565            -615.238              378562

#        20         1      0.44         0   1.43164
0.992945            -614.613              377799

#        20         1      0.44         0   1.41243
0.992817             -613.98              377015

#        20         1      0.44         0   1.39373
0.992158            -613.241              376115

#        20         1      0.44         0   1.37552
0.984353            -611.477              374067

#        20         1      0.44         0   1.35777
0.991234            -611.766              374309

#        20         1      0.44         0   1.34048
0.990452            -610.846              373193

#        20         1      0.44         0   1.32363
0.980507             -608.68              370695

#        20         1      0.44         0   1.30719
0.989276            -609.122              371093

#        20         1      0.44         0   1.29116
0.985959            -607.858              369598

#        20         1      0.44         0   1.27551
0.986162            -606.966              368507

#        20         1      0.44         0   1.26024
0.987169            -606.272              367641

#        20         1      0.44         0   1.24533
0.983842            -604.814              365918

#        20         1      0.44         0   1.23077
0.985475             -604.11              365034

#        20         1      0.44         0   1.21655
0.973396            -601.428              361986

#        20         1      0.44         0   1.20265
0.983899            -601.867              362337

#        20         1      0.44         0   1.18906
0.983062            -600.763              361014

#        20         1      0.44         0   1.17578
0.980839            -599.245              359227

#        20         1      0.44         0   1.16279
0.981188            -598.245              358009

#        20         1      0.44         0   1.15009
0.980263            -596.925              356432

#        20         1      0.44         0   1.13766
0.979187            -595.457              354690

#        20         1      0.44         0   1.12549
0.978218            -594.215              353217

#        20         1      0.44         0   1.11359
0.976199            -592.613              351343

#        20         1      0.44         0   1.10193
0.976104            -591.335              349813

#        20         1      0.44         0   1.09051
0.972523            -589.507              347700

#        20         1      0.44         0   1.07933
0.97375            -588.272              346216

#        20         1      0.44         0   1.06838
0.972471             -586.68              344354

#        20         1      0.44         0   1.05764
0.971181            -585.042              342443

#        20         1      0.44         0   1.04712
0.969925            -583.364              340487

#        20         1      0.44         0   1.03681
0.968619            -581.714              338574

#        20         1      0.44         0   1.02669
0.967379            -579.968              336551

#        20         1      0.44         0   1.01678
0.966133            -578.178              334480

#        20         1      0.44         0   1.00705
0.964643            -576.331              332358

#        20         1      0.44         0  0.997506
0.96316            -574.442              330193

#        20         1      0.44         0  0.988142
0.961613            -572.438              327903

#        20         1      0.44         0  0.978953
0.960092            -570.464              325658

#        20         1      0.44         0  0.969932
0.958606            -568.531              323464

#        20         1      0.44         0  0.961076
0.956697            -566.209              320843

#        20         1      0.44         0  0.952381
0.954948            -564.188              318572

#        20         1      0.44         0  0.943841
0.953518            -562.159              316291

#        20         1      0.44         0  0.935454
0.951499            -559.816              313679

#        20         1      0.44         0  0.927214
0.9493            -557.512              311125

#        20         1      0.44         0  0.919118
0.948147            -555.396              308764

#        20         1      0.44         0  0.911162
0.945918            -552.887              306000

#        20         1      0.44         0  0.903342
0.944205            -550.477              303346

#        20         1      0.44         0  0.895656
0.94217            -547.995              300636

#        20         1      0.44         0  0.888099
0.940185            -545.585              298008

#        20         1      0.44         0  0.880669
0.938061            -542.928              295130

#        20         1      0.44         0  0.873362
0.935879            -540.312              292308

#        20         1      0.44         0  0.866176
0.933468            -537.589              289396

#        20         1      0.44         0  0.859107
0.931465            -535.058              286689

#        20         1      0.44         0  0.852152
0.928127            -531.836              283284

#        20         1      0.44         0  0.845309
0.926465            -529.182              280472

#        20         1      0.44         0  0.838574
0.923897            -526.192              277331

#        20         1      0.44         0  0.831947
0.921387            -523.222              274223

#        20         1      0.44         0  0.825423
0.917726            -520.171              271086

#        20         1      0.44         0  0.819001
0.916024            -517.124              267921

#        20         1      0.44         0  0.812678
0.913253            -513.968              264686

#        20         1      0.44         0  0.806452
0.910491            -510.725              261372

#        20         1      0.44         0   0.80032
0.907889            -507.894              258513

#        20         1      0.44         0  0.794281
0.904418            -504.102              254696

#        20         1      0.44         0  0.788333
0.901255             -500.71              251309

#        20         1      0.44         0  0.782473
0.898495            -497.475              248099

#        20         1      0.44         0  0.776699
0.893868            -493.589              244296

#        20         1      0.44         0   0.77101
0.891019            -489.758              240536

#        20         1      0.44         0  0.765404
0.88734            -486.205              237097

#        20         1      0.44         0  0.759878
0.884209            -482.508              233525

#        20         1      0.44         0  0.754432
0.880146            -478.338              229559

#        20         1      0.44         0  0.749064
0.876306            -474.466              225893

#        20         1      0.44         0  0.743771
0.872014             -470.12              221817

#        20         1      0.44         0  0.738552
0.867787            -466.232              218206

#        20         1      0.44         0  0.733407
0.863359            -461.838              214153

#        20         1      0.44         0  0.728332
0.858492            -457.253              209970

#        20         1      0.44         0  0.723327
0.853977            -452.981              206124

#        20         1      0.44         0  0.718391
0.849146            -448.412              202029

#        20         1      0.44         0  0.713521
0.843421            -443.287              197514

#        20         1      0.44         0  0.708717
0.838007             -438.64              193448

#        20         1      0.44         0  0.703977
0.83256            -433.829              189291

#        20         1      0.44         0  0.699301
0.825291            -428.401              184683

#        20         1      0.44         0  0.694686
0.819932            -423.487              180508

#        20         1      0.44         0  0.690131
0.811878            -417.369              175447

#        20         1      0.44         0  0.685636
0.80437            -411.713              170815

#        20         1      0.44         0  0.681199
0.795787            -405.901              166136

#        20         1      0.44         0  0.676819
0.788962            -400.291              161643

#        20         1      0.44         0  0.672495
0.780705            -394.399              157004

#        20         1      0.44         0  0.668226
0.76905            -387.093              151413

#        20         1      0.44         0  0.664011
0.757483            -380.584              146509

#        20         1      0.44         0  0.659848
0.745812            -373.798              141469

#        20         1      0.44         0  0.655738
0.730697            -365.744              135634

#        20         1      0.44         0  0.651678
0.717991            -358.422              130419

#        20         1      0.44         0  0.647668
0.702809            -351.363              125506

#        20         1      0.44         0  0.643708
0.681373            -341.749              118972

#        20         1      0.44         0  0.639795
0.667361            -334.219              113928

#        20         1      0.44         0   0.63593
0.637512            -323.964              107384

#        20         1      0.44         0  0.632111
0.618743            -315.461              101922

#        20         1      0.44         0  0.628338
0.586984             -305.19             95688.5

#        20         1      0.44         0   0.62461
0.562513            -296.196             90312.1

#        20         1      0.44         0  0.620925
0.538516            -287.125             84971.8

#        20         1      0.44         0  0.617284
0.500161            -276.085             78820.9

#        20         1      0.44         0  0.613685
0.478761            -268.097             74359.4

#        20         1      0.44         0  0.610128
0.442607            -258.099             69075.8

#        20         1      0.44         0  0.606612
0.418833            -249.982             64883.5

#        20         1      0.44         0  0.603136
0.392151            -241.894             60715.8

#        20         1      0.44         0    0.5997
0.371268            -234.781             57271.7

#        20         1      0.44         0  0.596303
0.351323            -227.616             53845.1

#        20         1      0.44         0  0.592944
0.327143             -220.45             50530.3

#        20         1      0.44         0  0.589623
0.310845            -214.871             48025.3

#        20         1      0.44         0  0.586338
0.291278            -208.654             45292.4

#        20         1      0.44         0   0.58309
0.27527            -202.486             42644.5

#        20         1      0.44         0  0.579878
0.271106            -198.531             41021.7

#        20         1      0.44         0  0.576701
0.250772            -192.854               38721

#        20         1      0.44         0  0.573559
0.241508            -188.676               37075

#        20         1      0.44         0  0.570451
0.227832            -183.657             35111.2

#        20         1      0.44         0  0.567376
0.221546            -179.783             33684.6

#        20         1      0.44         0  0.564334
0.212093            -175.766             32233.9

#        20         1      0.44         0  0.561325
0.206024            -171.962             30833.7

#        20         1      0.44         0  0.558347
0.19728            -167.941             29430.3

#        20         1      0.44         0  0.555401
0.191589             -164.64             28294.2

#        20         1      0.44         0  0.552486
0.186325            -161.099             27119.2

#        20         1      0.44         0  0.549602
0.179201            -157.604             25976.3

#        20         1      0.44         0  0.546747
0.173222            -154.447             24956.3

#        20         1      0.44         0  0.543922
0.16961            -151.159             23933.9

#        20         1      0.44         0  0.541126
0.163874            -148.705             23168.3

#        20         1      0.44         0  0.538358
0.161616            -145.562             22231.5

#        20         1      0.44         0  0.535619
0.156385            -142.764             21404.6

#        20         1      0.44         0  0.532907
0.150117            -139.679               20521

#        20         1      0.44         0  0.530223
0.148548            -137.129             19793.5

#        20         1      0.44         0  0.527565
0.143682            -134.409             19025.5

#        20         1      0.44         0  0.524934
0.14333            -132.229             18433.3

#        20         1      0.44         0   0.52233
0.138958            -129.603             17740.2

#        20         1      0.44         0  0.519751
0.137116            -127.653             17231.7

#        20         1      0.44         0  0.517197
0.134987            -124.852             16499.5

#        20         1      0.44         0  0.514668
0.130249            -122.473             15901.5

#        20         1      0.44         0  0.512164
0.130459             -120.62             15443.6

#        20         1      0.44         0  0.509684
0.126033            -118.383             14884.9

#        20         1      0.44         0  0.507228
0.123785            -115.993             14316.6

#        20         1      0.44         0  0.504796
0.121219            -114.062             13861.3

#        20         1      0.44         0  0.502386
0.121212            -112.161             13422.1

#        20         1      0.44         0       0.5
0.117722            -109.811             12887.1

