#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.03         0        10
0.999902            -387.973              150528

#        20         1      1.03         0   9.13242
0.999944            -387.979              150532

#        20         1      1.03         0   8.40336
0.253392              -309.1             95546.1

#        20         1      1.03         0    7.7821
0.312712            -309.023             95498.1

#        20         1      1.03         0   7.24638
0.125103            -308.922             95436.2

#        20         1      1.03         0   6.77966
0.999854            -387.966              150524

#        20         1      1.03         0   6.36943
0.988492              -385.8              149107

#        20         1      1.03         0   6.00601
0.999867            -387.965              150523

#        20         1      1.03         0   5.68182
0.911877            -375.999              142196

#        20         1      1.03         0   5.39084
0.999789            -387.958              150518

#        20         1      1.03         0   5.12821
0.931538            -380.888              145605

#        20         1      1.03         0   4.88998
0.995721            -387.394              150126

#        20         1      1.03         0    4.6729
0.999804            -387.961              150519

#        20         1      1.03         0   4.47427
0.988799            -386.293              149363

#        20         1      1.03         0   4.29185
0.999934            -387.974              150529

#        20         1      1.03         0   4.12371
0.930394            -380.527              145370

#        20         1      1.03         0   3.96825
0.999852            -387.958              150517

#        20         1      1.03         0   3.82409
0.999956            -387.971              150525

#        20         1      1.03         0   3.69004
0.999871            -387.948              150510

#        20         1      1.03         0   3.56506
0.999862            -387.941              150504

#        20         1      1.03         0   3.44828
0.987875            -386.656              149615

#        20         1      1.03         0    3.3389
0.99984            -387.912              150482

#        20         1      1.03         0   3.23625
0.999707            -387.871              150451

#        20         1      1.03         0   3.13972
0.999774            -387.858              150441

#        20         1      1.03         0   3.04878
0.999773            -387.833              150420

#        20         1      1.03         0   2.96296
0.992259            -387.065              149888

#        20         1      1.03         0   2.88184
0.999689            -387.737              150346

#        20         1      1.03         0   2.80505
0.99951            -387.658              150288

#        20         1      1.03         0   2.73224
0.999436            -387.584              150231

#        20         1      1.03         0   2.66312
0.999485            -387.525              150183

#        20         1      1.03         0    2.5974
0.999372            -387.424              150106

#        20         1      1.03         0   2.53485
0.989009            -386.067              149165

#        20         1      1.03         0   2.47525
0.999208            -387.191              149924

#        20         1      1.03         0   2.41838
0.998906            -387.009              149787

#        20         1      1.03         0   2.36407
0.998882            -386.859              149669

#        20         1      1.03         0   2.31214
0.998685             -386.67              149525

#        20         1      1.03         0   2.26244
0.998636             -386.48              149376

#        20         1      1.03         0   2.21484
0.998333            -386.247              149200

#        20         1      1.03         0    2.1692
0.998223            -385.991              149001

#        20         1      1.03         0    2.1254
0.99794            -385.722              148794

#        20         1      1.03         0   2.08333
0.997581            -385.402              148550

#        20         1      1.03         0    2.0429
0.997259            -385.063              148291

#        20         1      1.03         0   2.00401
0.996965            -384.685              148000

#        20         1      1.03         0   1.96657
0.996645            -384.301              147707

#        20         1      1.03         0    1.9305
0.996414            -383.869              147373

#        20         1      1.03         0   1.89573
0.993674            -383.117              146829

#        20         1      1.03         0    1.8622
0.995338            -382.871              146615

#        20         1      1.03         0   1.82983
0.993072            -382.109              146057

#        20         1      1.03         0   1.79856
0.990607            -381.252              145429

#        20         1      1.03         0   1.76835
0.987278            -380.357              144781

#        20         1      1.03         0   1.73913
0.991003            -380.256              144654

#        20         1      1.03         0   1.71086
0.966733            -376.854              142331

#        20         1      1.03         0    1.6835
0.989823            -378.769              143539

#        20         1      1.03         0     1.657
0.991652            -378.433              143247

#        20         1      1.03         0   1.63132
0.99082            -377.564              142597

#        20         1      1.03         0   1.60643
0.990201            -376.775              142001

#        20         1      1.03         0   1.58228
0.988893             -375.81              141287

#        20         1      1.03         0   1.55885
0.984726            -374.437              140299

#        20         1      1.03         0    1.5361
0.980961            -373.096              139331

#        20         1      1.03         0     1.514
0.986739            -372.944              139141

#        20         1      1.03         0   1.49254
0.985748            -371.861              138340

#        20         1      1.03         0   1.47167
0.984747            -370.731              137504

#        20         1      1.03         0   1.45138
0.983705            -369.571              136649

#        20         1      1.03         0   1.43164
0.982712            -368.443              135818

#        20         1      1.03         0   1.41243
0.981509            -367.165              134883

#        20         1      1.03         0   1.39373
0.980311            -365.932              133986

#        20         1      1.03         0   1.37552
0.97913            -364.534              132970

#        20         1      1.03         0   1.35777
0.977797            -363.143              131963

#        20         1      1.03         0   1.34048
0.976286            -361.511              130784

#        20         1      1.03         0   1.32363
0.975131            -360.151              129806

#        20         1      1.03         0   1.30719
0.973427            -358.531              128651

#        20         1      1.03         0   1.29116
0.96828            -356.491              127246

#        20         1      1.03         0   1.27551
0.970817             -355.49              126484

#        20         1      1.03         0   1.26024
0.965415            -353.246              124948

#        20         1      1.03         0   1.24533
0.967508            -352.049              124063

#        20         1      1.03         0   1.23077
0.960055            -349.492              122344

#        20         1      1.03         0   1.21655
0.964038            -348.343              121480

#        20         1      1.03         0   1.20265
0.96221             -346.51              120217

#        20         1      1.03         0   1.18906
0.960409            -344.562              118874

#        20         1      1.03         0   1.17578
0.958439            -342.601              117535

#        20         1      1.03         0   1.16279
0.956467            -340.486              116097

#        20         1      1.03         0   1.15009
0.954485            -338.426              114705

#        20         1      1.03         0   1.13766
0.952275              -336.2              113212

#        20         1      1.03         0   1.12549
0.950426            -334.277              111930

#        20         1      1.03         0   1.11359
0.947957            -331.824              110304

#        20         1      1.03         0   1.10193
0.943529            -329.321              108692

#        20         1      1.03         0   1.09051
0.943307            -327.279              107333

#        20         1      1.03         0   1.07933
0.940979            -324.841              105748

#        20         1      1.03         0   1.06838
0.938095            -322.244              104082

#        20         1      1.03         0   1.05764
0.935969            -319.838              102542

#        20         1      1.03         0   1.04712
0.933208            -317.369              100981

#        20         1      1.03         0   1.03681
0.930707            -314.736               99322

#        20         1      1.03         0   1.02669
0.928148            -312.169             97722.2

#        20         1      1.03         0   1.01678
0.925259            -309.483             96062.3

#        20         1      1.03         0   1.00705
0.92037            -306.493             94268.4

#        20         1      1.03         0  0.997506
0.918998             -303.83             92625.6

#        20         1      1.03         0  0.988142
0.916308             -301.04             90951.2

#        20         1      1.03         0  0.978953
0.913254            -298.018             89145.4

#        20         1      1.03         0  0.969932
0.910107            -295.119             87440.6

#        20         1      1.03         0  0.961076
0.9068            -292.024               85634

#        20         1      1.03         0  0.952381
0.903482            -288.961             83868.8

#        20         1      1.03         0  0.943841
0.899914            -285.827             82080.2

#        20         1      1.03         0  0.935454
0.896511            -282.601             80258.5

#        20         1      1.03         0  0.927214
0.892835            -279.307             78422.7

#        20         1      1.03         0  0.919118
0.888808            -275.859             76531.2

#        20         1      1.03         0  0.911162
0.884869            -272.579             74752.8

#        20         1      1.03         0  0.903342
0.880915            -268.913             72778.4

#        20         1      1.03         0  0.895656
0.8757            -265.406             70942.8

#        20         1      1.03         0  0.888099
0.872358            -261.757             69016.7

#        20         1      1.03         0  0.880669
0.867865            -257.852             67005.2

#        20         1      1.03         0  0.873362
0.86358            -254.391               65250

#        20         1      1.03         0  0.866176
0.858587            -250.223             63168.9

#        20         1      1.03         0  0.859107
0.853684            -246.237             61207.7

#        20         1      1.03         0  0.852152
0.848919            -242.389             59348.7

#        20         1      1.03         0  0.845309
0.843749            -238.348             57426.1

#        20         1      1.03         0  0.838574
0.837979            -234.004             55403.2

#        20         1      1.03         0  0.831947
0.83273            -229.874             53513.8

#        20         1      1.03         0  0.825423
0.826759            -225.368             51479.4

#        20         1      1.03         0  0.819001
0.820218            -220.688             49430.5

#        20         1      1.03         0  0.812678
0.812471            -215.828             47354.1

#        20         1      1.03         0  0.806452
0.806274            -211.208             45418.3

#        20         1      1.03         0   0.80032
0.798186            -205.783             43186.4

#        20         1      1.03         0  0.794281
0.791408            -201.132             41321.1

#        20         1      1.03         0  0.788333
0.783085            -195.997             39323.2

#        20         1      1.03         0  0.782473
0.77348            -190.279             37170.9

#        20         1      1.03         0  0.776699
0.764116            -184.746             35136.3

#        20         1      1.03         0   0.77101
0.756593            -179.844             33365.5

#        20         1      1.03         0  0.765404
0.7449            -173.636             31244.4

#        20         1      1.03         0  0.759878
0.730322             -166.91             29050.6

#        20         1      1.03         0  0.754432
0.716055            -160.162             26895.7

#        20         1      1.03         0  0.749064
0.704077            -154.153             25050.6

#        20         1      1.03         0  0.743771
0.685601            -146.641             22880.3

#        20         1      1.03         0  0.738552
0.661918            -138.158             20599.5

#        20         1      1.03         0  0.733407
0.649341            -132.223             19008.9

#        20         1      1.03         0  0.728332
0.626031            -123.909             16939.9

#        20         1      1.03         0  0.723327
0.593374            -114.029             14710.6

#        20         1      1.03         0  0.718391
0.562291            -105.165             12823.9

#        20         1      1.03         0  0.713521
0.534759            -96.7674             11168.5

#        20         1      1.03         0  0.708717
0.508201            -89.1443             9722.63

#        20         1      1.03         0  0.703977
0.485565            -80.9435             8266.48

#        20         1      1.03         0  0.699301
0.439013            -71.2645             6783.36

#        20         1      1.03         0  0.694686
0.423848            -65.2835             5937.29

#        20         1      1.03         0  0.690131
0.396009            -58.0515             4944.67

#        20         1      1.03         0  0.685636
0.366293            -50.5865             4042.94

#        20         1      1.03         0  0.681199
0.340393            -43.8851             3338.88

#        20         1      1.03         0  0.676819
0.320383            -37.8973             2716.85

#        20         1      1.03         0  0.672495
0.307979            -33.1479             2371.63

#        20         1      1.03         0  0.668226
0.282731            -27.6323             1932.17

#        20         1      1.03         0  0.664011
0.27137            -22.7953             1646.15

#        20         1      1.03         0  0.659848
0.25358            -18.3187              1391.4

#        20         1      1.03         0  0.655738
0.244744             -14.465             1219.63

#        20         1      1.03         0  0.651678
0.231601            -10.2301             1066.54

#        20         1      1.03         0  0.647668
0.221936            -6.23901             959.734

#        20         1      1.03         0  0.643708
0.210151            -2.56368             896.359

#        20         1      1.03         0  0.639795
0.202351            0.729139             862.527

#        20         1      1.03         0   0.63593
0.191747             3.98521             840.978

#        20         1      1.03         0  0.632111
0.186008             7.12371             840.842

#        20         1      1.03         0  0.628338
0.181108             9.90355             877.213

#        20         1      1.03         0   0.62461
0.171774             13.3818             924.906

#        20         1      1.03         0  0.620925
0.168693             15.4375             971.438

#        20         1      1.03         0  0.617284
0.164636             17.9653             1043.24

#        20         1      1.03         0  0.613685
0.155425             20.9572             1133.62

#        20         1      1.03         0  0.610128
0.152335             23.2708             1226.07

#        20         1      1.03         0  0.606612
0.149594             25.6051             1328.89

#        20         1      1.03         0  0.603136
0.147022             27.5913             1410.61

#        20         1      1.03         0    0.5997
0.140758             30.1402             1550.95

#        20         1      1.03         0  0.596303
0.139735             32.2714             1677.41

#        20         1      1.03         0  0.592944
0.136209             34.2869             1800.94

#        20         1      1.03         0  0.589623
0.131674             36.5275              1947.5

#        20         1      1.03         0  0.586338
0.130407             38.4187             2079.14

#        20         1      1.03         0   0.58309
0.128908              40.234             2216.62

#        20         1      1.03         0  0.579878
0.125862              42.149             2365.08

#        20         1      1.03         0  0.576701
0.124884             44.0255             2516.82

#        20         1      1.03         0  0.573559
0.1213             45.6892                2659

#        20         1      1.03         0  0.570451
0.117911             47.6605             2828.64

#        20         1      1.03         0  0.567376
0.116884             49.2885             2983.81

#        20         1      1.03         0  0.564334
0.115734             50.8338             3132.31

#        20         1      1.03         0  0.561325
0.112496             52.6345             3315.86

#        20         1      1.03         0  0.558347
0.11182             54.1676             3471.26

#        20         1      1.03         0  0.555401
0.109569             56.0362             3668.33

#        20         1      1.03         0  0.552486
0.107623             57.5329             3828.65

#        20         1      1.03         0  0.549602
0.105993             58.8987             3989.83

#        20         1      1.03         0  0.546747
0.104653             60.2318             4143.17

#        20         1      1.03         0  0.543922
0.102305             61.6814             4311.21

#        20         1      1.03         0  0.541126
0.10193             63.2777             4503.39

#        20         1      1.03         0  0.538358
0.100768              64.454             4652.17

#        20         1      1.03         0  0.535619
0.0984072             66.0744             4858.87

#        20         1      1.03         0  0.532907
0.0972311             67.3182             5023.12

#        20         1      1.03         0  0.530223
0.0970204             68.5668             5188.03

#        20         1      1.03         0  0.527565
0.0957045             70.0451             5385.82

#        20         1      1.03         0  0.524934
0.095458             70.9627             5515.57

#        20         1      1.03         0   0.52233
0.0926677             72.5123             5732.01

#        20         1      1.03         0  0.519751
0.0926098             73.6571             5897.78

#        20         1      1.03         0  0.517197
0.0914902             74.8343             6069.49

#        20         1      1.03         0  0.514668
0.0901245             75.9456             6229.94

#        20         1      1.03         0  0.512164
0.0888883             77.1937             6422.22

#        20         1      1.03         0  0.509684
0.0881908             78.2939             6588.38

#        20         1      1.03         0  0.507228
0.088271              79.288             6741.84

#        20         1      1.03         0  0.504796
0.0863265             80.5512              6939.5

#        20         1      1.03         0  0.502386
0.0865043             81.6894              7124.2

#        20         1      1.03         0       0.5
0.0856729             82.7034             7285.97

