#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1       0.6         0        10
0.999317            -559.842              313438

#        20         1       0.6         0   9.13242
0.999402            -559.868              313467

#        20         1       0.6         0   8.40336
0.999819            -559.941              313542

#        20         1       0.6         0    7.7821
0.997153             -559.58              313173

#        20         1       0.6         0   7.24638
0.999777            -559.944              313544

#        20         1       0.6         0   6.77966
0.998939            -559.811              313411

#        20         1       0.6         0   6.36943
0.99957            -559.915              313515

#        20         1       0.6         0   6.00601
0.999714            -559.937              313538

#        20         1       0.6         0   5.68182
0.999955             -559.98              313582

#        20         1       0.6         0   5.39084
0.999575            -559.913              313514

#        20         1       0.6         0   5.12821
0.999567            -559.911              313513

#        20         1       0.6         0   4.88998
0.000410036            -479.807              230219

#        20         1       0.6         0    4.6729
0.999936            -559.977              313579

#        20         1       0.6         0   4.47427
0.999885            -559.965              313567

#        20         1       0.6         0   4.29185
0.0463799            -479.615              230035

#        20         1       0.6         0   4.12371
0.999875            -559.959              313562

#        20         1       0.6         0   3.96825
0.999815             -559.95              313553

#        20         1       0.6         0   3.82409
0.381149            -479.171              229609

#        20         1       0.6         0   3.69004
0.999977            -559.982              313584

#        20         1       0.6         0   3.56506
0.999797            -559.947              313548

#        20         1       0.6         0   3.44828
0.999935            -559.966              313568

#        20         1       0.6         0    3.3389
0.80509            -538.506              291292

#        20         1       0.6         0   3.23625
0.999756            -559.927              313527

#        20         1       0.6         0   3.13972
0.999853            -559.932              313532

#        20         1       0.6         0   3.04878
0.905369             -549.52              302733

#        20         1       0.6         0   2.96296
0.729154            -523.604              275879

#        20         1       0.6         0   2.88184
0.999634            -559.864              313456

#        20         1       0.6         0   2.80505
0.999746            -559.857              313448

#        20         1       0.6         0   2.73224
0.939208            -553.096              306451

#        20         1       0.6         0   2.66312
0.999724            -559.793              313377

#        20         1       0.6         0    2.5974
0.999777            -559.773              313352

#        20         1       0.6         0   2.53485
0.999759            -559.732              313306

#        20         1       0.6         0   2.47525
0.999498            -559.646              313213

#        20         1       0.6         0   2.41838
0.998392            -559.373              312925

#        20         1       0.6         0   2.36407
0.999557            -559.534              313085

#        20         1       0.6         0   2.31214
0.999433            -559.429              312970

