#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      2.12         0        10
5.50675e-07          0.00454677             1.11394

#        20         1      2.12         0   9.13242
1.52655e-06          0.00451028            0.995372

#        20         1      2.12         0   8.40336
2.79377e-06          0.00498804             1.08398

#        20         1      2.12         0    7.7821
1.14622e-06           0.0045339             1.03498

#        20         1      2.12         0   7.24638
1.14902e-06          0.00487193             1.08243

#        20         1      2.12         0   6.77966
1.49397e-06          0.00543912            0.990416

#        20         1      2.12         0   6.36943
5.32948e-06          0.00628613            0.952404

#        20         1      2.12         0   6.00601
6.37118e-06          0.00881494             1.11704

#        20         1      2.12         0   5.68182
1.481e-05           0.0161328             1.21682

#        20         1      2.12         0   5.39084
2.3549e-05           0.0239729              1.1874

#        20         1      2.12         0   5.12821
4.57432e-05           0.0392878             1.34059

#        20         1      2.12         0   4.88998
6.89279e-05           0.0627141             1.25011

#        20         1      2.12         0    4.6729
9.98369e-05           0.0898412             1.39197

#        20         1      2.12         0   4.47427
0.000155888            0.138336             1.33949

#        20         1      2.12         0   4.29185
0.00022619            0.202776             1.53283

#        20         1      2.12         0   4.12371
0.00031567            0.286316             1.99375

#        20         1      2.12         0   3.96825
0.000426064            0.392155             2.07613

#        20         1      2.12         0   3.82409
0.000574093            0.539277             2.42652

#        20         1      2.12         0   3.69004
0.000740103            0.719118             3.32536

#        20         1      2.12         0   3.56506
0.000931326            0.936948             3.95784

#        20         1      2.12         0   3.44828
0.00114682             1.20269             5.09424

#        20         1      2.12         0    3.3389
0.00139464             1.53237             6.91163

#        20         1      2.12         0   3.23625
0.00167309             1.94271             9.35041

#        20         1      2.12         0   3.13972
0.00195139              2.3807             12.0785

#        20         1      2.12         0   3.04878
0.00223828             2.90107             15.9433

#        20         1      2.12         0   2.96296
0.00256185             3.52606             21.4823

#        20         1      2.12         0   2.88184
0.00289855             4.22185             28.1852

#        20         1      2.12         0   2.80505
0.00325182             5.01951             37.5328

#        20         1      2.12         0   2.73224
0.00359653             5.89527             49.1147

#        20         1      2.12         0   2.66312
0.00399088             6.88363             63.9754

#        20         1      2.12         0    2.5974
0.004397             8.00862             83.4862

#        20         1      2.12         0   2.53485
0.00481149             9.22523              106.98

#        20         1      2.12         0   2.47525
0.00524419             10.4974             135.277

#        20         1      2.12         0   2.41838
0.00571613             12.0363             173.354

#        20         1      2.12         0   2.36407
0.00623388              13.592             216.564

#        20         1      2.12         0   2.31214
0.00674961             15.3013             270.434

#        20         1      2.12         0   2.26244
0.00728823              17.157             334.705

#        20         1      2.12         0   2.21484
0.00789691             19.1387             411.117

#        20         1      2.12         0    2.1692
0.00852488             21.2796             502.844

#        20         1      2.12         0    2.1254
0.00918839             23.5552             609.766

#        20         1      2.12         0   2.08333
0.00985248             25.9099             731.699

#        20         1      2.12         0    2.0429
0.0105759             28.3851             871.065

#        20         1      2.12         0   2.00401
0.011329             31.0187             1034.09

#        20         1      2.12         0   1.96657
0.0120647             33.7524             1216.87

#        20         1      2.12         0    1.9305
0.0129165             36.7504             1434.61

#        20         1      2.12         0   1.89573
0.0138474             39.6767              1664.9

#        20         1      2.12         0    1.8622
0.0147146             42.8324             1930.62

#        20         1      2.12         0   1.82983
0.015655             45.9906             2217.93

#        20         1      2.12         0   1.79856
0.016626             49.2545             2535.73

#        20         1      2.12         0   1.76835
0.0177206             52.6894             2892.45

#        20         1      2.12         0   1.73913
0.0187009             56.0317             3261.92

#        20         1      2.12         0   1.71086
0.0198679             59.6549             3686.43

#        20         1      2.12         0    1.6835
0.0210113             63.1919             4127.94

#        20         1      2.12         0     1.657
0.0221523             66.7742             4599.11

#        20         1      2.12         0   1.63132
0.023425             70.4791             5112.67

#        20         1      2.12         0   1.60643
0.0245355             74.0444             5632.24

#        20         1      2.12         0   1.58228
0.0258457             77.7959             6206.05

#        20         1      2.12         0   1.55885
0.0270272             81.4391             6793.25

#        20         1      2.12         0    1.5361
0.0284922             85.2145             7425.66

#        20         1      2.12         0     1.514
0.0294509             88.7212             8041.07

#        20         1      2.12         0   1.49254
0.0309959             92.4857             8724.24

#        20         1      2.12         0   1.47167
0.0322166             95.9245             9374.92

#        20         1      2.12         0   1.45138
0.0336557             99.6481             10106.2

#        20         1      2.12         0   1.43164
0.0350708             103.093             10807.9

#        20         1      2.12         0   1.41243
0.0362679             106.537             11531.4

#        20         1      2.12         0   1.39373
0.0375482             110.073             12299.4

#        20         1      2.12         0   1.37552
0.0383988             113.173             12993.4

#        20         1      2.12         0   1.35777
0.0396297             116.408             13737.7

#        20         1      2.12         0   1.34048
0.0408272             119.652             14503.4

#        20         1      2.12         0   1.32363
0.0421705             122.752             15254.9

#        20         1      2.12         0   1.30719
0.0434853             125.826             16019.3

#        20         1      2.12         0   1.29116
0.0442791             128.979             16823.4

#        20         1      2.12         0   1.27551
0.0450937             131.727             17539.8

#        20         1      2.12         0   1.26024
0.0457042             134.654             18321.3

#        20         1      2.12         0   1.24533
0.0473884             137.581             19117.7

#        20         1      2.12         0   1.23077
0.0477705             140.125             19824.4

#        20         1      2.12         0   1.21655
0.0489824             142.957             20626.3

#        20         1      2.12         0   1.20265
0.0499139             145.722             21423.3

#        20         1      2.12         0   1.18906
0.0505664              148.13             22132.6

#        20         1      2.12         0   1.17578
0.0514524             150.714             22905.6

#        20         1      2.12         0   1.16279
0.0522387             153.121             23635.3

#        20         1      2.12         0   1.15009
0.0529332             155.463             24358.4

#        20         1      2.12         0   1.13766
0.0536881             157.789             25086.7

#        20         1      2.12         0   1.12549
0.0541431             160.182             25846.3

#        20         1      2.12         0   1.11359
0.0550769             162.402             26563.4

#        20         1      2.12         0   1.10193
0.0549816             164.467             27238.4

#        20         1      2.12         0   1.09051
0.0554844             166.762             27999.5

#        20         1      2.12         0   1.07933
0.0561982             168.893             28714.6

#        20         1      2.12         0   1.06838
0.0563633             170.975             29422.4

#        20         1      2.12         0   1.05764
0.0571753              172.94             30098.9

#        20         1      2.12         0   1.04712
0.0572546             174.951             30797.6

#        20         1      2.12         0   1.03681
0.0574191             176.946             31499.8

#        20         1      2.12         0   1.02669
0.0582807             178.899             32196.9

#        20         1      2.12         0   1.01678
0.0579925             180.728             32855.4

#        20         1      2.12         0   1.00705
0.0585359             182.705             33573.5

#        20         1      2.12         0  0.997506
0.058812             184.526             34243.6

#        20         1      2.12         0  0.988142
0.0589069             186.348             34921.1

#        20         1      2.12         0  0.978953
0.0588653             188.072               35566

#        20         1      2.12         0  0.969932
0.0588055              189.75             36200.9

#        20         1      2.12         0  0.961076
0.059562             191.594             36904.6

#        20         1      2.12         0  0.952381
0.0594901             193.373             37590.5

#        20         1      2.12         0  0.943841
0.0601077             194.976             38212.8

#        20         1      2.12         0  0.935454
0.059982             196.584             38844.2

#        20         1      2.12         0  0.927214
0.0593195             198.363             39547.1

#        20         1      2.12         0  0.919118
0.0599732              199.81             40125.6

#        20         1      2.12         0  0.911162
0.060432             201.493             40800.7

#        20         1      2.12         0  0.903342
0.0604302             203.091             41448.7

#        20         1      2.12         0  0.895656
0.0603949             204.638             42081.1

#        20         1      2.12         0  0.888099
0.0602658             206.121             42689.8

#        20         1      2.12         0  0.880669
0.0603854             207.737               43362

#        20         1      2.12         0  0.873362
0.0606371             209.228             43983.7

#        20         1      2.12         0  0.866176
0.0604074             210.625             44571.5

#        20         1      2.12         0  0.859107
0.0600156             212.152             45218.2

#        20         1      2.12         0  0.852152
0.060512             213.637             45850.5

#        20         1      2.12         0  0.845309
0.0595679             215.103             46480.4

#        20         1      2.12         0  0.838574
0.0602784             216.513             47090.8

#        20         1      2.12         0  0.831947
0.0600414             217.924               47706

#        20         1      2.12         0  0.825423
0.0601209             219.234             48279.5

#        20         1      2.12         0  0.819001
0.0599602             220.756             48951.9

#        20         1      2.12         0  0.812678
0.0598637             222.052             49526.4

#        20         1      2.12         0  0.806452
0.0600718             223.475             50161.7

#        20         1      2.12         0   0.80032
0.0603813             224.791             50752.3

#        20         1      2.12         0  0.794281
0.0598841             226.164             51373.2

#        20         1      2.12         0  0.788333
0.0593508             227.423             51944.9

#        20         1      2.12         0  0.782473
0.0598088              228.83               52589

#        20         1      2.12         0  0.776699
0.0595295             230.198               53219

#        20         1      2.12         0   0.77101
0.0593108              231.46             53801.5

#        20         1      2.12         0  0.765404
0.0591809             232.652             54355.3

#        20         1      2.12         0  0.759878
0.0591966             233.954             54964.9

#        20         1      2.12         0  0.754432
0.0591109             235.204             55553.9

#        20         1      2.12         0  0.749064
0.0590238             236.454             56143.3

#        20         1      2.12         0  0.743771
0.0587297             237.686             56729.5

#        20         1      2.12         0  0.738552
0.0589308              238.89             57306.5

#        20         1      2.12         0  0.733407
0.0589711             240.164             57917.8

#        20         1      2.12         0  0.728332
0.0586444             241.373             58501.6

#        20         1      2.12         0  0.723327
0.0584143             242.545             59071.4

#        20         1      2.12         0  0.718391
0.0582523             243.813             59687.7

#        20         1      2.12         0  0.713521
0.0582678             244.961             60251.2

#        20         1      2.12         0  0.708717
0.0581095             246.116             60821.2

#        20         1      2.12         0  0.703977
0.0580183             247.323               61416

#        20         1      2.12         0  0.699301
0.0577577             248.398             61951.6

#        20         1      2.12         0  0.694686
0.0576017             249.741             62621.3

#        20         1      2.12         0  0.690131
0.0573689             250.745             63126.4

#        20         1      2.12         0  0.685636
0.0572717             251.933             63725.4

#        20         1      2.12         0  0.681199
0.0575234              253.04             64284.9

#        20         1      2.12         0  0.676819
0.0571159             254.256             64902.3

#        20         1      2.12         0  0.672495
0.0573919              255.27               65421

#        20         1      2.12         0  0.668226
0.0569434             256.419             66011.9

#        20         1      2.12         0  0.664011
0.0569867              257.47             66552.6

#        20         1      2.12         0  0.659848
0.0564169             258.553             67112.2

#        20         1      2.12         0  0.655738
0.0567034             259.708             67713.6

#        20         1      2.12         0  0.651678
0.056691             260.703               68232

#        20         1      2.12         0  0.647668
0.056495             261.832             68822.7

#        20         1      2.12         0  0.643708
0.0563641              262.88             69375.1

