#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      0.35         0        10
0.999704            -659.925              435510

#        20         1      0.35         0   9.13242
0.997487            -659.611              435131

#        20         1      0.35         0   8.40336
0.999938            -659.974              435572

#        20         1      0.35         0    7.7821
0.999619             -659.91              435493

#        20         1      0.35         0   7.24638
0.999089             -659.83              435400

#        20         1      0.35         0   6.77966
0.0999768            -579.967              336366

#        20         1      0.35         0   6.36943
0.100009            -579.942              336338

#        20         1      0.35         0   6.00601
0.199911            -579.967              336365

#        20         1      0.35         0   5.68182
0.999707            -659.936              435526

#        20         1      0.35         0   5.39084
0.999871            -659.958              435554

#        20         1      0.35         0   5.12821
0.999836            -659.951              435545

#        20         1      0.35         0   4.88998
0.999857            -659.959              435554

#        20         1      0.35         0    4.6729
0.999894            -659.965              435562

#        20         1      0.35         0   4.47427
0.999697            -659.932              435523

#        20         1      0.35         0   4.29185
0.99991            -659.972              435567

#        20         1      0.35         0   4.12371
0.99994            -659.978              435576

#        20         1      0.35         0   3.96825
0.299988            -579.763              336129

#        20         1      0.35         0   3.82409
0.230997            -579.677              336030

#        20         1      0.35         0   3.69004
0.999951            -659.976              435575

#        20         1      0.35         0   3.56506
0.0802442            -579.534              335863

#        20         1      0.35         0   3.44828
0.999793            -659.945              435537

#        20         1      0.35         0    3.3389
0.999822            -659.946              435538

#        20         1      0.35         0   3.23625
0.999586            -659.912              435497

#        20         1      0.35         0   3.13972
0.0952038            -578.917              335151

#        20         1      0.35         0   3.04878
0.269345            -578.738              334944

#        20         1      0.35         0   2.96296
0.239645            -578.494              334662

#        20         1      0.35         0   2.88184
0.284666            -578.236              334364

#        20         1      0.35         0   2.80505
0.241366            -577.859              333930

#        20         1      0.35         0   2.73224
0.877661            -647.855              420574

#        20         1      0.35         0   2.66312
0.99979            -659.865              435432

#        20         1      0.35         0    2.5974
0.999742            -659.844              435403

#        20         1      0.35         0   2.53485
0.765168            -633.533              402881

#        20         1      0.35         0   2.47525
0.999633            -659.771              435310

#        20         1      0.35         0   2.41838
0.999632            -659.734              435258

#        20         1      0.35         0   2.36407
0.999616            -659.694              435206

#        20         1      0.35         0   2.31214
0.96088            -655.545              430084

#        20         1      0.35         0   2.26244
0.999682            -659.595              435073

#        20         1      0.35         0   2.21484
0.891825            -648.183              421009

#        20         1      0.35         0    2.1692
0.999589             -659.44              434868

#        20         1      0.35         0    2.1254
0.996551            -658.889              434186

#        20         1      0.35         0   2.08333
0.99942            -659.233              434598

#        20         1      0.35         0    2.0429
0.988527            -657.866              432908

#        20         1      0.35         0   2.00401
0.998323            -658.824              434074

#        20         1      0.35         0   1.96657
0.998452            -658.708              433928

#        20         1      0.35         0    1.9305
0.999024            -658.681              433872

#        20         1      0.35         0   1.89573
0.998807            -658.473              433602

#        20         1      0.35         0    1.8622
0.998578            -658.271              433338

#        20         1      0.35         0   1.82983
0.99866            -658.099              433108

#        20         1      0.35         0   1.79856
0.997914            -657.768              432690

#        20         1      0.35         0   1.76835
0.998329            -657.632              432495

#        20         1      0.35         0   1.73913
0.997955            -657.293              432055

#        20         1      0.35         0   1.71086
0.997782            -657.018              431694

#        20         1      0.35         0    1.6835
0.997592            -656.728              431315

#        20         1      0.35         0     1.657
0.99734            -656.363              430834

#        20         1      0.35         0   1.63132
0.988797            -654.914              429044

#        20         1      0.35         0   1.60643
0.996858            -655.647              429900

#        20         1      0.35         0   1.58228
0.996676            -655.259              429390

#        20         1      0.35         0   1.55885
0.985147            -653.382              427072

#        20         1      0.35         0    1.5361
0.996002            -654.349              428203

#        20         1      0.35         0     1.514
0.995721            -653.853              427554

