#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.01         0        10
0.0549826            -316.327              100065

#        20         1      1.01         0   9.13242
0.999841            -395.962              156793

#        20         1      1.01         0   8.40336
0.369395             -316.18             99972.8

#        20         1      1.01         0    7.7821
0.999958            -395.981              156806

#        20         1      1.01         0   7.24638
0.922658            -380.466              145760

#        20         1      1.01         0   6.77966
0.740061            -360.909              131846

#        20         1      1.01         0   6.36943
0.989741            -394.178              155599

#        20         1      1.01         0   6.00601
0.999862            -395.966              156795

#        20         1      1.01         0   5.68182
0.99992            -395.976              156802

#        20         1      1.01         0   5.39084
0.995698            -395.177              156234

#        20         1      1.01         0   5.12821
0.999803            -395.959              156790

#        20         1      1.01         0   4.88998
0.999964            -395.984              156807

#        20         1      1.01         0    4.6729
0.999907            -395.972              156799

#        20         1      1.01         0   4.47427
0.999974            -395.985              156808

#        20         1      1.01         0   4.29185
0.975329            -393.147              154798

#        20         1      1.01         0   4.12371
0.99993            -395.972              156799

#        20         1      1.01         0   3.96825
0.99994            -395.971              156798

#        20         1      1.01         0   3.82409
0.999949             -395.97              156796

#        20         1      1.01         0   3.69004
0.999739            -395.935              156772

#        20         1      1.01         0   3.56506
0.999946            -395.958              156787

#        20         1      1.01         0   3.44828
0.982694             -394.07              155453

#        20         1      1.01         0    3.3389
0.999908            -395.926              156762

#        20         1      1.01         0   3.23625
0.99977             -395.88              156729

#        20         1      1.01         0   3.13972
0.999572            -395.838              156698

#        20         1      1.01         0   3.04878
0.999755            -395.836              156692

#        20         1      1.01         0   2.96296
0.999754            -395.799              156664

#        20         1      1.01         0   2.88184
0.9997            -395.751              156625

#        20         1      1.01         0   2.80505
0.99954             -395.66              156559

#        20         1      1.01         0   2.73224
0.999613            -395.631              156531

#        20         1      1.01         0   2.66312
0.999483            -395.543              156462

#        20         1      1.01         0    2.5974
0.999473            -395.459              156394

#        20         1      1.01         0   2.53485
0.999385            -395.353              156312

#        20         1      1.01         0   2.47525
0.999225            -395.213              156201

#        20         1      1.01         0   2.41838
0.998999            -395.066              156088

#        20         1      1.01         0   2.36407
0.998942             -394.91              155963

#        20         1      1.01         0   2.31214
0.998723            -394.738              155830

#        20         1      1.01         0   2.26244
0.998673            -394.549              155679

#        20         1      1.01         0   2.21484
0.997934             -394.24              155444

#        20         1      1.01         0    2.1692
0.998145            -394.047              155287

#        20         1      1.01         0    2.1254
0.998126            -393.824              155109

#        20         1      1.01         0   2.08333
0.997732            -393.494              154853

#        20         1      1.01         0    2.0429
0.997421            -393.154              154586

#        20         1      1.01         0   2.00401
0.97621            -390.305              152583

#        20         1      1.01         0   1.96657
0.996788            -392.431              154021

#        20         1      1.01         0    1.9305
0.988533            -391.081              153051

#        20         1      1.01         0   1.89573
0.996164            -391.558              153337

#        20         1      1.01         0    1.8622
0.995691             -391.09              152973

#        20         1      1.01         0   1.82983
0.995254            -390.577              152574

#        20         1      1.01         0   1.79856
0.994688            -389.974              152106

#        20         1      1.01         0   1.76835
0.991555            -389.029              151406

#        20         1      1.01         0   1.73913
0.992466            -388.626              151075

#        20         1      1.01         0   1.71086
0.99308            -388.129              150677

#        20         1      1.01         0    1.6835
0.992468            -387.417              150126

#        20         1      1.01         0     1.657
0.979137            -384.883              148342

#        20         1      1.01         0   1.63132
0.981749            -384.778              148200

#        20         1      1.01         0   1.60643
0.990527            -385.095              148340

#        20         1      1.01         0   1.58228
0.989694            -384.191              147647

#        20         1      1.01         0   1.55885
0.972914            -381.232              145586

#        20         1      1.01         0    1.5361
0.987763            -382.271              146187

#        20         1      1.01         0     1.514
0.982311            -380.731              145068

#        20         1      1.01         0   1.49254
0.986032            -380.217              144624

#        20         1      1.01         0   1.47167
0.985193            -379.178              143840

#        20         1      1.01         0   1.45138
0.984179             -378.09              143018

#        20         1      1.01         0   1.43164
0.974694            -375.829              141426

#        20         1      1.01         0   1.41243
0.982034            -375.622              141166

#        20         1      1.01         0   1.39373
0.979634            -374.223              140134

#        20         1      1.01         0   1.37552
0.974592             -372.42              138841

#        20         1      1.01         0   1.35777
0.978356            -371.632              138198

#        20         1      1.01         0   1.34048
0.976336            -370.198              137151

#        20         1      1.01         0   1.32363
0.975739            -368.744              136071

#        20         1      1.01         0   1.30719
0.974138            -367.264              134990

#        20         1      1.01         0   1.29116
0.973145            -365.821              133932

#        20         1      1.01         0   1.27551
0.971251            -364.149              132723

#        20         1      1.01         0   1.26024
0.970134            -362.608              131602

#        20         1      1.01         0   1.24533
0.968575            -360.859              130341

#        20         1      1.01         0   1.23077
0.966493            -359.055              129057

#        20         1      1.01         0   1.21655
0.965096            -357.234              127753

#        20         1      1.01         0   1.20265
0.963441            -355.487              126513

#        20         1      1.01         0   1.18906
0.96175            -353.627              125200

#        20         1      1.01         0   1.17578
0.959767            -351.576              123764

#        20         1      1.01         0   1.16279
0.954699             -349.26              122189

#        20         1      1.01         0   1.15009
0.955804            -347.484              120917

#        20         1      1.01         0   1.13766
0.953893            -345.418              119491

#        20         1      1.01         0   1.12549
0.948526            -342.874              117797

#        20         1      1.01         0   1.11359
0.949045            -341.017              116497

#        20         1      1.01         0   1.10193
0.947214             -338.73              114944

#        20         1      1.01         0   1.09051
0.945087            -336.483              113437

#        20         1      1.01         0   1.07933
0.94277            -334.191              111909

#        20         1      1.01         0   1.06838
0.940293            -331.712              110266

#        20         1      1.01         0   1.05764
0.937845            -329.341              108708

#        20         1      1.01         0   1.04712
0.935581            -326.879              107099

#        20         1      1.01         0   1.03681
0.932962            -324.385              105484

#        20         1      1.01         0   1.02669
0.930331            -321.722              103776

#        20         1      1.01         0   1.01678
0.927163            -318.818              101931

#        20         1      1.01         0   1.00705
0.92469            -316.174              100258

#        20         1      1.01         0  0.997506
0.921616            -313.343             98488.7

#        20         1      1.01         0  0.988142
0.918783             -310.63             96807.5

#        20         1      1.01         0  0.978953
0.915982            -307.803             95064.5

#        20         1      1.01         0  0.969932
0.912736            -304.791             93238.4

#        20         1      1.01         0  0.961076
0.909105            -301.821               91452

#        20         1      1.01         0  0.952381
0.90633            -298.826             89663.7

#        20         1      1.01         0  0.943841
