#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      0.73         0        10
0.998956            -507.817              257897

#        20         1      0.73         0   9.13242
0.999691            -507.928              258001

#        20         1      0.73         0   8.40336
0.999967            -507.983              258051

#        20         1      0.73         0    7.7821
0.0996            -427.927              183126

#        20         1      0.73         0   7.24638
0.998992            -507.835              257916

#        20         1      0.73         0   6.77966
0.999846            -507.958              258029

#        20         1      0.73         0   6.36943
0.999627            -507.927              257999

#        20         1      0.73         0   6.00601
0.999554            -507.914              257989

#        20         1      0.73         0   5.68182
0.999711            -507.942              258012

#        20         1      0.73         0   5.39084
0.999909            -507.972              258041

#        20         1      0.73         0   5.12821
0.463828            -427.762              182984

#        20         1      0.73         0   4.88998
0.178977            -427.678              182911

#        20         1      0.73         0    4.6729
0.999965            -507.983              258051

#        20         1      0.73         0   4.47427
0.607566            -449.812              203639

#        20         1      0.73         0   4.29185
0.999819            -507.951              258022

#        20         1      0.73         0   4.12371
0.999824            -507.955              258026

#        20         1      0.73         0   3.96825
0.999848             -507.96              258029

#        20         1      0.73         0   3.82409
0.871233            -487.029              238470

#        20         1      0.73         0   3.69004
0.905829            -493.813              244814

#        20         1      0.73         0   3.56506
0.246568            -433.647              188642

#        20         1      0.73         0   3.44828
0.999824            -507.941              258013

#        20         1      0.73         0    3.3389
0.999658            -507.915              257987

#        20         1      0.73         0   3.23625
0.865378            -494.245              245243

#        20         1      0.73         0   3.13972
0.949729            -501.778              252269

#        20         1      0.73         0   3.04878
0.999874             -507.91              257979

#        20         1      0.73         0   2.96296
0.890045            -494.611              245603

#        20         1      0.73         0   2.88184
0.999771            -507.855              257923

#        20         1      0.73         0   2.80505
0.999742            -507.827              257896

#        20         1      0.73         0   2.73224
0.999663            -507.775              257845

#        20         1      0.73         0   2.66312
0.984688            -506.117              256303

#        20         1      0.73         0    2.5974
0.961784            -502.859              253279

#        20         1      0.73         0   2.53485
0.980719            -505.289              255530

#        20         1      0.73         0   2.47525
0.999626            -507.572              257636

#        20         1      0.73         0   2.41838
0.96688            -503.518              253881

#        20         1      0.73         0   2.36407
0.999444            -507.384              257447

#        20         1      0.73         0   2.31214
0.99937            -507.288              257350

#        20         1      0.73         0   2.26244
0.999302            -507.172              257231

#        20         1      0.73         0   2.21484
0.993039            -506.188              256312

#        20         1      0.73         0    2.1692
0.999011            -506.845              256904

#        20         1      0.73         0    2.1254
0.993572            -505.988              256100

#        20         1      0.73         0   2.08333
0.998634            -506.466              256522

#        20         1      0.73         0    2.0429
0.998566            -506.268              256319

#        20         1      0.73         0   2.00401
0.998375            -506.039              256089

#        20         1      0.73         0   1.96657
0.998232            -505.787              255834

#        20         1      0.73         0    1.9305
0.998058            -505.533              255577

#        20         1      0.73         0   1.89573
0.997817            -505.224              255266

#        20         1      0.73         0    1.8622
0.997558              -504.9              254940

#        20         1      0.73         0   1.82983
0.997176            -504.509              254549

#        20         1      0.73         0   1.79856
0.996872            -504.138              254177

#        20         1      0.73         0   1.76835
0.996629            -503.728              253762

#        20         1      0.73         0   1.73913
0.996284            -503.295              253329

#        20         1      0.73         0   1.71086
0.984078            -501.435              251602

#        20         1      0.73         0    1.6835
0.995499            -502.315              252347

#        20         1      0.73         0     1.657
0.98438            -500.458              250620

#        20         1      0.73         0   1.63132
0.99475            -501.272              251302

#        20         1      0.73         0   1.60643
0.994252            -500.639              250670

#        20         1      0.73         0   1.58228
0.993572            -499.982              250019

#        20         1      0.73         0   1.55885
0.993269            -499.382              249416

#        20         1      0.73         0    1.5361
0.992584            -498.671              248713

#        20         1      0.73         0     1.514
0.991946             -497.88              247929

#        20         1      0.73         0   1.49254
0.991337            -497.118              247174

#        20         1      0.73         0   1.47167
0.990732            -496.382              246445

#        20         1      0.73         0   1.45138
0.980527            -494.282              244486

#        20         1      0.73         0   1.43164
0.981736            -493.695              243883

#        20         1      0.73         0   1.41243
0.988255            -493.654              243759

#        20         1      0.73         0   1.39373
0.988032             -492.79              242899

#        20         1      0.73         0   1.37552
0.987118            -491.765              241898

#        20         1      0.73         0   1.35777
0.982619            -490.185              240402

#        20         1      0.73         0   1.34048
0.985482            -489.655              239834

#        20         1      0.73         0   1.32363
0.981808            -488.195              238448

#        20         1      0.73         0   1.30719
0.98365            -487.396              237634

#        20         1      0.73         0   1.29116
0.982435            -486.124              236403

#        20         1      0.73         0   1.27551
0.981483            -484.908              235227

#        20         1      0.73         0   1.26024
0.980523            -483.643              234006

#        20         1      0.73         0   1.24533
0.97943            -482.277              232691

#        20         1      0.73         0   1.23077
0.978332            -480.967              231432

#        20         1      0.73         0   1.21655
0.976205            -479.333              229885

#        20         1      0.73         0   1.20265
0.972545            -477.639              228303

#        20         1      0.73         0   1.18906
0.974601            -476.523              227198

#        20         1      0.73         0   1.17578
0.973355            -475.003              225757

#        20         1      0.73         0   1.16279
0.972011             -473.37              224215

#        20         1      0.73         0   1.15009
0.970783            -471.842              222775

#        20         1      0.73         0   1.13766
0.968979            -470.187              221233

#        20         1      0.73         0   1.12549
0.967814            -468.357              219513

#        20         1      0.73         0   1.11359
0.966481            -466.709              217976

#        20         1      0.73         0   1.10193
0.964935            -464.902              216302

#        20         1      0.73         0   1.09051
0.962924            -462.913              214470

#        20         1      0.73         0   1.07933
0.961004            -461.085              212795

#        20         1      0.73         0   1.06838
0.960031            -459.132              210994

#        20         1      0.73         0   1.05764
0.958112            -457.093              209136

#        20         1      0.73         0   1.04712
0.956802            -455.255              207459

#        20         1      0.73         0   1.03681
0.954019            -452.977              205417

#        20         1      0.73         0   1.02669
0.952933            -450.901              203535

#        20         1      0.73         0   1.01678
0.951205            -448.892              201734

#        20         1      0.73         0   1.00705
0.948316            -446.307              199445

#        20         1      0.73         0  0.997506
0.947248            -444.319              197668

#        20         1      0.73         0  0.988142
0.944856            -441.762              195421

#        20         1      0.73         0  0.978953
0.942838            -439.402              193345

#        20         1      0.73         0  0.969932
0.940705            -437.075              191319

#        20         1      0.73         0  0.961076
0.938288            -434.635              189208

#        20         1      0.73         0  0.952381
0.936182            -432.012              186942

#        20         1      0.73         0  0.943841
0.932657            -429.194              184546

#        20         1      0.73         0  0.935454
0.931487            -426.848              182530

#        20         1      0.73         0  0.927214
0.927212            -423.765              179947

#        20         1      0.73         0  0.919118
0.926231            -421.352              177899

#        20         1      0.73         0  0.911162
0.923803            -418.464              175481

#        20         1      0.73         0  0.903342
0.920323            -415.497              173032

#        20         1      0.73         0  0.895656
0.918419            -412.737              170749

#        20         1      0.73         0  0.888099
0.915588            -409.827              168366

#        20         1      0.73         0  0.880669
0.912123            -406.608              165764

#        20         1      0.73         0  0.873362
0.909791            -403.627              163354

#        20         1      0.73         0  0.866176
0.906409            -400.278              160679

#        20         1      0.73         0  0.859107
0.903298            -397.068              158142

#        20         1      0.73         0  0.852152
0.900289            -393.875              155628

#        20         1      0.73         0  0.845309
0.897092            -390.697              153153

#        20         1      0.73         0  0.838574
0.89348            -387.073              150353

#        20         1      0.73         0  0.831947
0.889824            -383.633              147725

#        20         1      0.73         0  0.825423
0.886185            -379.935              144914

#        20         1      0.73         0  0.819001
0.88244            -376.318              142203

#        20         1      0.73         0  0.812678
0.878558            -372.775              139575

#        20         1      0.73         0  0.806452
0.874554            -368.878              136703

#        20         1      0.73         0   0.80032
0.870651            -365.117              133962

#        20         1      0.73         0  0.794281
0.865486            -360.757              130830

#        20         1      0.73         0  0.788333
0.861395            -356.853              128051

#        20         1      0.73         0  0.782473
0.856772             -352.73              125160

#        20         1      0.73         0  0.776699
0.851607             -348.29              122075

#        20         1      0.73         0   0.77101
0.846724            -344.012              119136

#        20         1      0.73         0  0.765404
0.841207            -339.262              115926

#        20         1      0.73         0  0.759878
0.835311            -334.503              112751

#        20         1      0.73         0  0.754432
0.829438            -329.836              109699

#        20         1      0.73         0  0.749064
0.823371            -325.158              106665

#        20         1      0.73         0  0.743771
0.816483            -320.143              103468

#        20         1      0.73         0  0.738552
0.810932            -315.323              100428

#        20         1      0.73         0  0.733407
0.802694            -309.639             96943.9

#        20         1      0.73         0  0.728332
0.794477            -303.869             93468.1

#        20         1      0.73         0  0.723327
0.786911             -298.43             90218.9

#        20         1      0.73         0  0.718391
0.776036            -292.172             86616.2

#        20         1      0.73         0  0.713521
0.769427            -286.978             83632.2

#        20         1      0.73         0  0.708717
0.758275            -280.379             79959.7

#        20         1      0.73         0  0.703977
0.74709            -273.929             76465.1

#        20         1      0.73         0  0.699301
0.731108            -267.039             72879.8

#        20         1      0.73         0  0.694686
0.719399            -260.203             69301.4

#        20         1      0.73         0  0.690131
0.702264             -252.19             65289.1

#        20         1      0.73         0  0.685636
0.678466            -242.852             60817.2

#        20         1      0.73         0  0.681199
0.666996            -236.438             57767.1

#        20         1      0.73         0  0.676819
0.640229            -227.099             53611.6

#        20         1      0.73         0  0.672495
0.617689            -218.644             49905.5

#        20         1      0.73         0  0.668226
0.598921            -210.911             46600.9

#        20         1      0.73         0  0.664011
0.567947            -201.021             42607.7

#        20         1      0.73         0  0.659848
0.532308            -190.484             38512.6

#        20         1      0.73         0  0.655738
0.507339             -182.51             35507.2

#        20         1      0.73         0  0.651678
0.484163            -174.534             32647.2

#        20         1      0.73         0  0.647668
0.448311            -165.454             29504.1

#        20         1      0.73         0  0.643708
0.425614             -157.25             26742.3

#        20         1      0.73         0  0.639795
0.402793            -150.198             24517.2

#        20         1      0.73         0   0.63593
0.375531            -142.703             22233.5

#        20         1      0.73         0  0.632111
0.352746            -135.503             20131.6

