#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.05         0        10
0.0999683            -301.967               91188

#        20         1      1.05         0   9.13242
0.999894            -379.967              144381

#        20         1      1.05         0   8.40336
0.999795            -379.956              144374

#        20         1      1.05         0    7.7821
0.199919            -301.902             91147.3

#        20         1      1.05         0   7.24638
0.999772            -379.949              144370

#        20         1      1.05         0   6.77966
0.289659            -301.727             91041.7

#        20         1      1.05         0   6.36943
0.111089            -301.548             90934.3

#        20         1      1.05         0   6.00601
0.999855            -379.964              144379

#        20         1      1.05         0   5.68182
0.999799            -379.959              144375

#        20         1      1.05         0   5.39084
0.999914            -379.972              144385

#        20         1      1.05         0   5.12821
0.946679            -372.137              139057

#        20         1      1.05         0   4.88998
0.901983            -369.568              137313

#        20         1      1.05         0    4.6729
0.984379            -377.972              143026

#        20         1      1.05         0   4.47427
0.970466            -376.752              142199

#        20         1      1.05         0   4.29185
0.992627            -378.832              143660

#        20         1      1.05         0   4.12371
0.999849            -379.959              144374

#        20         1      1.05         0   3.96825
0.99977            -379.941              144363

#        20         1      1.05         0   3.82409
0.933435            -373.521              140017

#        20         1      1.05         0   3.69004
0.999776             -379.93              144355

#        20         1      1.05         0   3.56506
0.999737            -379.923              144348

#        20         1      1.05         0   3.44828
0.999808             -379.92              144345

#        20         1      1.05         0    3.3389
0.999781            -379.901              144331

#        20         1      1.05         0   3.23625
0.999718            -379.868              144307

#        20         1      1.05         0   3.13972
0.951466            -374.836              140913

#        20         1      1.05         0   3.04878
0.99976            -379.823              144273

#        20         1      1.05         0   2.96296
0.99786            -379.403              143986

#        20         1      1.05         0   2.88184
0.999575            -379.715              144191

#        20         1      1.05         0   2.80505
0.999688            -379.676              144159

#        20         1      1.05         0   2.73224
0.999462            -379.576              144085

#        20         1      1.05         0   2.66312
0.99952            -379.507              144032

#        20         1      1.05         0    2.5974
0.997859            -379.157              143789

#        20         1      1.05         0   2.53485
0.999348            -379.295              143871

#        20         1      1.05         0   2.47525
0.999139            -379.145              143760

#        20         1      1.05         0   2.41838
0.99884            -378.971              143631

#        20         1      1.05         0   2.36407
0.998785            -378.811              143510

#        20         1      1.05         0   2.31214
0.998784            -378.653              143387

#        20         1      1.05         0   2.26244
0.998409            -378.406              143204

#        20         1      1.05         0   2.21484
0.998349            -378.183              143034

#        20         1      1.05         0    2.1692
0.992757            -377.093              142285

#        20         1      1.05         0    2.1254
0.993188            -377.119              142278

#        20         1      1.05         0   2.08333
0.997667            -377.318              142382

#        20         1      1.05         0    2.0429
0.997127            -376.952              142110

#        20         1      1.05         0   2.00401
0.996961             -376.59              141836

#        20         1      1.05         0   1.96657
0.971288            -373.348              139663

#        20         1      1.05         0    1.9305
0.996275            -375.725              141188

#        20         1      1.05         0   1.89573
0.993991            -375.053              140707

#        20         1      1.05         0    1.8622
0.995235             -374.72              140441

#        20         1      1.05         0   1.82983
0.99493            -374.243              140082

#        20         1      1.05         0   1.79856
0.994079            -373.579              139593

#        20         1      1.05         0   1.76835
0.981729            -371.564              138224

#        20         1      1.05         0   1.73913
0.993289            -372.355              138677

#        20         1      1.05         0   1.71086
0.974816            -369.636              136852

#        20         1      1.05         0    1.6835
0.991989            -370.899              137602

#        20         1      1.05         0     1.657
0.991041            -370.081              137004

#        20         1      1.05         0   1.63132
0.990529            -369.253              136387

#        20         1      1.05         0   1.60643
0.989846            -368.437              135787

#        20         1      1.05         0   1.58228
0.988823            -367.503              135107

#        20         1      1.05         0   1.55885
0.988055            -366.559              134414

#        20         1      1.05         0    1.5361
0.987228            -365.543              133673

#        20         1      1.05         0     1.514
0.983792            -364.085              132670

#        20         1      1.05         0   1.49254
0.985326            -363.447              132151

#        20         1      1.05         0   1.47167
0.983503            -362.154              131229

#        20         1      1.05         0   1.45138
0.979398            -360.654              130184

#        20         1      1.05         0   1.43164
0.968798            -358.341              128630

#        20         1      1.05         0   1.41243
0.974883            -357.788              128168

#        20         1      1.05         0   1.39373
0.979726            -357.313              127750

#        20         1      1.05         0   1.37552
0.97821            -355.859              126722

#        20         1      1.05         0   1.35777
0.97702            -354.429              125709

#        20         1      1.05         0   1.34048
0.972323            -352.647              124495

#        20         1      1.05         0   1.32363
0.974298            -351.458              123621

#        20         1      1.05         0   1.30719
0.972719             -349.87              122514

#        20         1      1.05         0   1.29116
0.963029            -347.195              120760

#        20         1      1.05         0   1.27551
0.969653            -346.616              120258

#        20         1      1.05         0   1.26024
0.967906            -344.872              119063

#        20         1      1.05         0   1.24533
0.966131             -343.06              117823

#        20         1      1.05         0   1.23077
0.964584             -341.38              116677

#        20         1      1.05         0   1.21655
0.959962            -339.157              115204

#        20         1      1.05         0   1.20265
0.961029            -337.544              114083

#        20         1      1.05         0   1.18906
0.957026            -335.326              112625

#        20         1      1.05         0   1.17578
0.956854            -333.478              111372

#        20         1      1.05         0   1.16279
0.954994            -331.471              110045

#        20         1      1.05         0   1.15009
0.94953            -328.882              108385

#        20         1      1.05         0   1.13766
0.950786            -327.099              107177

#        20         1      1.05         0   1.12549
0.948586            -324.923              105769

#        20         1      1.05         0   1.11359
0.946071            -322.625              104292

#        20         1      1.05         0   1.10193
0.943344            -320.336              102837

#        20         1      1.05         0   1.09051
0.941486            -317.902              101282

#        20         1      1.05         0   1.07933
0.93905            -315.486             99763.6

#        20         1      1.05         0   1.06838
0.933573             -312.66             98037.4

#        20         1      1.05         0   1.05764
0.933925            -310.501             96663.2

#        20         1      1.05         0   1.04712
0.931435            -307.966             95097.8

#        20         1      1.05         0   1.03681
0.928702            -305.316             93481.1

#        20         1      1.05         0   1.02669
0.924879            -302.449             91764.4

#        20         1      1.05         0   1.01678
0.922625            -299.794             90174.5

#        20         1      1.05         0   1.00705
0.919773            -297.094             88569.1

#        20         1      1.05         0  0.997506
0.916633            -294.296             86930.1

#        20         1      1.05         0  0.988142
0.913944            -291.488             85289.6

#        20         1      1.05         0  0.978953
0.91023            -288.224             83417.3

#        20         1      1.05         0  0.969932
0.906579            -285.248             81723.8

#        20         1      1.05         0  0.961076
0.903362              -282.3             80066.6

#        20         1      1.05         0  0.952381
0.900551            -279.147             78301.2

#        20         1      1.05         0  0.943841
0.896702            -275.711             76407.5

#        20         1      1.05         0  0.935454
0.893017            -272.429             74623.3

#        20         1      1.05         0  0.927214
0.889514            -269.333             72957.5

#        20         1      1.05         0  0.919118
0.885238            -265.773             71076.1

#        20         1      1.05         0  0.911162
0.881306            -262.427               69326

#        20         1      1.05         0  0.903342
0.877251            -258.878             67486.9

#        20         1      1.05         0  0.895656
0.872752             -254.97             65488.9

#        20         1      1.05         0  0.888099
0.868381            -251.319               63662

#        20         1      1.05         0  0.880669
0.864087            -247.888             61969.4

#        20         1      1.05         0  0.873362
0.859185            -243.874             60020.8

#        20         1      1.05         0  0.866176
0.854534            -240.001               58162

#        20         1      1.05         0  0.859107
0.84901            -235.724             56152.7

#        20         1      1.05         0  0.852152
0.843756            -231.602             54253.8

#        20         1      1.05         0  0.845309
0.838339            -227.476             52375.4

#        20         1      1.05         0  0.838574
0.832347            -223.326             50544.7

#        20         1      1.05         0  0.831947
0.826578             -218.78             48562.6

#        20         1      1.05         0  0.825423
0.82127            -214.741             46813.9

#        20         1      1.05         0  0.819001
0.813766            -209.643               44695

#        20         1      1.05         0  0.812678
0.80731            -205.022             42799.1

#        20         1      1.05         0  0.806452
0.799948            -200.151             40865.8

#        20         1      1.05         0   0.80032
0.791505            -194.967             38871.9

#        20         1      1.05         0  0.794281
0.784132            -189.976             36969.3

#        20         1      1.05         0  0.788333
0.777211            -185.206               35200

#        20         1      1.05         0  0.782473
0.765303            -178.797             32938.4

#        20         1      1.05         0  0.776699
0.753488            -172.789               30907

#        20         1      1.05         0   0.77101
0.744386            -167.607             29180.3

#        20         1      1.05         0  0.765404
0.731895            -161.003               27077

#        20         1      1.05         0  0.759878
0.718265            -154.759             25166.9

#        20         1      1.05         0  0.754432
0.701653            -147.412             23040.8

#        20         1      1.05         0  0.749064
0.68462             -140.65             21149.2

#        20         1      1.05         0  0.743771
0.673448            -134.425             19440.8

#        20         1      1.05         0  0.738552
0.644171            -125.217             17251.4

#        20         1      1.05         0  0.733407
0.627355            -118.627               15631

#        20         1      1.05         0  0.728332
0.599811            -109.348             13601.2

#        20         1      1.05         0  0.723327
0.573484            -101.482               11986

#        20         1      1.05         0  0.718391
0.544268            -92.6467             10317.6

#        20         1      1.05         0  0.713521
0.516104             -84.419              8839.2

#        20         1      1.05         0  0.708717
0.482572             -75.629             7456.08

#        20         1      1.05         0  0.703977
0.453272             -67.516             6239.52

#        20         1      1.05         0  0.699301
0.427063            -59.8543             5199.73

#        20         1      1.05         0  0.694686
0.399714            -52.8346             4325.56

#        20         1      1.05         0  0.690131
0.377603            -46.5883             3647.47

#        20         1      1.05         0  0.685636
0.343815            -39.1201             2939.39

#        20         1      1.05         0  0.681199
0.333574            -34.4022             2503.67

#        20         1      1.05         0  0.676819
0.305423            -27.8712             2029.15

#        20         1      1.05         0  0.672495
0.294221            -23.3968             1725.84

#        20         1      1.05         0  0.668226
0.26815            -17.2901             1385.44

#        20         1      1.05         0  0.664011
0.258486            -13.2369             1224.52

#        20         1      1.05         0  0.659848
0.242851            -9.20353              1076.6

#        20         1      1.05         0  0.655738
0.2368            -5.48222              998.58

#        20         1      1.05         0  0.651678
0.218603           -0.898674             898.068

#        20         1      1.05         0  0.647668
0.209047             2.40332             878.834

#        20         1      1.05         0  0.643708
0.200515             5.87588             886.128

#        20         1      1.05         0  0.639795
0.194658             8.74835             898.103

#        20         1      1.05         0   0.63593
0.186377             11.9396             917.411

#        20         1      1.05         0  0.632111
0.17953             15.2461             991.386

#        20         1      1.05         0  0.628338
0.176476             17.6164             1053.23

#        20         1      1.05         0   0.62461
0.167572             20.5882             1142.36

#        20         1      1.05         0  0.620925
0.164239             22.8804              1235.8

#        20         1      1.05         0  0.617284
0.15785             25.8769             1360.27

#        20         1      1.05         0  0.613685
0.154973             27.6553             1443.89

#        20         1      1.05         0  0.610128
0.151362             30.4147             1590.58

#        20         1      1.05         0  0.606612
0.146063             32.9357             1726.59

#        20         1      1.05         0  0.603136
0.140957             35.3998             1880.18

#        20         1      1.05         0    0.5997
0.140069              36.972             1995.47

#        20         1      1.05         0  0.596303
0.135295             39.6108                2182

#        20         1      1.05         0  0.592944
0.133976             41.1277             2295.94

#        20         1      1.05         0  0.589623
0.131482             43.3188             2474.35

#        20         1      1.05         0  0.586338
0.128706             45.1316             2617.61

#        20         1      1.05         0   0.58309
0.124257             47.0114             2786.71

#        20         1      1.05         0  0.579878
0.123009             48.9645              2960.5

#        20         1      1.05         0  0.576701
0.119471             50.7804             3133.98

#        20         1      1.05         0  0.573559
0.117731             52.3811             3299.93

#        20         1      1.05         0  0.570451
0.117051              54.197             3485.68

#        20         1      1.05         0  0.567376
0.114938             55.6849             3641.36

#        20         1      1.05         0  0.564334
0.112069              57.425             3825.48

#        20         1      1.05         0  0.561325
0.110045             59.0484             4015.38

#        20         1      1.05         0  0.558347
0.110563             60.5477             4189.76

#        20         1      1.05         0  0.555401
0.106892             62.2936              4398.5

#        20         1      1.05         0  0.552486
0.106738             63.8296             4585.23

#        20         1      1.05         0  0.549602
0.104027             65.2584              4761.9

#        20         1      1.05         0  0.546747
0.103653             66.5229             4922.31

#        20         1      1.05         0  0.543922
0.100876             68.0636             5125.52

#        20         1      1.05         0  0.541126
0.100383              69.386             5310.21

#        20         1      1.05         0  0.538358
0.0985812             70.8326             5500.54

#        20         1      1.05         0  0.535619
