#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.84         0        10
0.988214            -62.6841             4008.44

#        20         1      1.84         0   9.13242
0.999564            -63.9199             4090.25

#        20         1      1.84         0   8.40336
0.997965            -63.7621             4081.92

#        20         1      1.84         0    7.7821
0.999527            -63.9272             4092.74

#        20         1      1.84         0   7.24638
0.996024             -63.648             4076.48

#        20         1      1.84         0   6.77966
0.999105            -63.8889             4089.99

#        20         1      1.84         0   6.36943
0.999623            -63.9412             4093.11

#        20         1      1.84         0   6.00601
0.999577            -63.9446             4093.69

#        20         1      1.84         0   5.68182
0.999671            -63.9512             4093.91

#        20         1      1.84         0   5.39084
0.999887            -63.9724             4095.02

#        20         1      1.84         0   5.12821
0.999798            -63.9576             4093.57

#        20         1      1.84         0   4.88998
0.999482            -63.9211             4091.08

#        20         1      1.84         0    4.6729
0.999831            -63.9417              4091.3

#        20         1      1.84         0   4.47427
0.999578            -63.8935             4087.31

#        20         1      1.84         0   4.29185
0.999308            -63.8478             4082.73

#        20         1      1.84         0   4.12371
0.998418            -63.7428             4074.47

#        20         1      1.84         0   3.96825
0.999004            -63.7498             4071.37

#        20         1      1.84         0   3.82409
0.999478            -63.7338             4066.14

#        20         1      1.84         0   3.69004
0.999284            -63.6448             4055.67

#        20         1      1.84         0   3.56506
0.00236805             2.44147             11.5721

#        20         1      1.84         0   3.44828
0.998916            -63.4078             4027.26

#        20         1      1.84         0    3.3389
0.998669            -63.2627             4010.14

#        20         1      1.84         0   3.23625
0.99871            -63.1043                3988

#        20         1      1.84         0   3.13972
0.998498            -62.9068             3963.36

#        20         1      1.84         0   3.04878
0.998147            -62.6539             3932.65

#        20         1      1.84         0   2.96296
0.997906            -62.3845             3898.81

#        20         1      1.84         0   2.88184
0.997437            -62.0546             3859.27

#        20         1      1.84         0   2.80505
0.997008            -61.6905             3815.11

#        20         1      1.84         0   2.73224
0.996676            -61.3047             3766.71

#        20         1      1.84         0   2.66312
0.99571            -60.7792             3706.41

#        20         1      1.84         0    2.5974
0.995331            -60.2631             3643.38

#        20         1      1.84         0   2.53485
0.994193            -59.6706             3576.99

#        20         1      1.84         0   2.47525
0.993837            -59.0644              3502.8

#        20         1      1.84         0   2.41838
0.99255            -58.3201             3420.37

#        20         1      1.84         0   2.36407
0.99156            -57.5144             3329.32

#        20         1      1.84         0   2.31214
0.990598            -56.6715              3233.9

