#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.06         0        10
0.999808            -375.954              141349

#        20         1      1.06         0   9.13242
0.999788            -375.955              141349

#        20         1      1.06         0   8.40336
0.999772            -375.953              141348

#        20         1      1.06         0    7.7821
0.99995            -375.981              141366

#        20         1      1.06         0   7.24638
0.999796             -375.95              141347

#        20         1      1.06         0   6.77966
0.0490726            -298.172             88909.4

#        20         1      1.06         0   6.36943
0.99967            -375.945              141342

#        20         1      1.06         0   6.00601
0.999753             -375.95              141346

#        20         1      1.06         0   5.68182
0.999921            -375.975              141362

#        20         1      1.06         0   5.39084
0.97704            -373.226              139513

#        20         1      1.06         0   5.12821
0.999803            -375.959              141351

#        20         1      1.06         0   4.88998
0.954537            -370.989              138012

#        20         1      1.06         0    4.6729
0.999735            -375.952              141347

#        20         1      1.06         0   4.47427
0.946731             -369.88              137271

#        20         1      1.06         0   4.29185
0.999926            -375.972              141360

#        20         1      1.06         0   4.12371
0.999746            -375.946              141343

#        20         1      1.06         0   3.96825
0.999851            -375.957              141350

#        20         1      1.06         0   3.82409
0.999926            -375.965              141354

#        20         1      1.06         0   3.69004
0.969965            -372.322              138918

#        20         1      1.06         0   3.56506
0.981176            -373.878              139958

#        20         1      1.06         0   3.44828
0.999928            -375.937              141333

#        20         1      1.06         0    3.3389
0.999663            -375.884              141296

#        20         1      1.06         0   3.23625
0.999793            -375.878              141289

#        20         1      1.06         0   3.13972
0.981062            -373.729              139857

#        20         1      1.06         0   3.04878
0.999803            -375.827              141251

#        20         1      1.06         0   2.96296
0.961506            -371.452              138336

#        20         1      1.06         0   2.88184
0.979857            -373.206              139501

#        20         1      1.06         0   2.80505
0.988105            -374.475              140340

#        20         1      1.06         0   2.73224
0.999379            -375.546              141045

#        20         1      1.06         0   2.66312
0.977746            -373.222              139496

#        20         1      1.06         0    2.5974
0.992808             -374.52              140348

#        20         1      1.06         0   2.53485
0.999369            -375.286              140846

#        20         1      1.06         0   2.47525
0.988142            -373.956              139956

#        20         1      1.06         0   2.41838
0.997373            -374.726              140462

#        20         1      1.06         0   2.36407
0.998638            -374.763              140461

#        20         1      1.06         0   2.31214
0.99879             -374.62              140349

#        20         1      1.06         0   2.26244
0.996839            -374.165              140030

#        20         1      1.06         0   2.21484
0.998317            -374.159              140006

#        20         1      1.06         0    2.1692
0.987641            -372.718              139036

#        20         1      1.06         0    2.1254
0.997851             -373.57              139567

#        20         1      1.06         0   2.08333
0.997494            -373.247              139327

#        20         1      1.06         0    2.0429
0.997203            -372.906              139075

#        20         1      1.06         0   2.00401
0.996942            -372.537              138800

#        20         1      1.06         0   1.96657
0.996526            -372.087              138467

#        20         1      1.06         0    1.9305
0.996202             -371.67              138157

#        20         1      1.06         0   1.89573
0.978494            -369.187              136501

#        20         1      1.06         0    1.8622
0.995232            -370.641              137398

#        20         1      1.06         0   1.82983
0.99472            -370.089              136990

#        20         1      1.06         0   1.79856
0.985601            -368.479              135897

#        20         1      1.06         0   1.76835
0.993764            -368.897              136112

#        20         1      1.06         0   1.73913
0.993065            -368.175              135585

#        20         1      1.06         0   1.71086
0.986171            -366.829              134663

#        20         1      1.06         0    1.6835
0.991888             -366.76              134547

#        20         1      1.06         0     1.657
0.991096             -365.97              133971

#        20         1      1.06         0   1.63132
0.990453            -365.154              133375

#        20         1      1.06         0   1.60643
0.989517            -364.288              132749

#        20         1      1.06         0   1.58228
0.986594            -363.041              131872

#        20         1      1.06         0   1.55885
0.987818             -362.37              131363

#        20         1      1.06         0    1.5361
0.985309            -361.118              130481

#        20         1      1.06         0     1.514
0.985926            -360.304              129877

#        20         1      1.06         0   1.49254
0.973685            -357.858              128251

#        20         1      1.06         0   1.47167
0.982546            -357.837              128130

#        20         1      1.06         0   1.45138
0.975399            -355.976              126871

#        20         1      1.06         0   1.43164
0.981707            -355.598              126521

#        20         1      1.06         0   1.41243
0.980538            -354.329              125625

#        20         1      1.06         0   1.39373
0.976584            -352.682              124497

#        20         1      1.06         0   1.37552
0.977909            -351.517              123650

#        20         1      1.06         0   1.35777
0.976721             -350.14              122686

#        20         1      1.06         0   1.34048
0.975338            -348.667              121662

#        20         1      1.06         0   1.32363
0.972656            -346.942              120486

#        20         1      1.06         0   1.30719
0.971951            -345.497              119484

#        20         1      1.06         0   1.29116
0.96767            -343.563              118188

#        20         1      1.06         0   1.27551
0.966776            -341.919              117056

#        20         1      1.06         0   1.26024
0.967598            -340.524              116078

#        20         1      1.06         0   1.24533
0.965324            -338.579              114776

#        20         1      1.06         0   1.23077
0.963948            -336.878              113623

#        20         1      1.06         0   1.21655
0.962301            -334.993              112361

#        20         1      1.06         0   1.20265
0.960335             -333.03              111057

#        20         1      1.06         0   1.18906
0.958358            -331.059              109756

#        20         1      1.06         0   1.17578
0.956348            -328.982              108394

#        20         1      1.06         0   1.16279
0.95425            -326.867              107013

#        20         1      1.06         0   1.15009
0.950084            -324.443              105469

#        20         1      1.06         0   1.13766
0.949985            -322.621              104271

#        20         1      1.06         0   1.12549
0.947639            -320.331              102809

#        20         1      1.06         0   1.11359
0.945627            -318.225              101470

#        20         1      1.06         0   1.10193
0.943068            -315.687             99870.4

#        20         1      1.06         0   1.09051
0.940616            -313.288             98371.8

#        20         1      1.06         0   1.07933
0.938242            -310.907             96893.8

#        20         1      1.06         0   1.06838
0.935641            -308.471             95395.7

#        20         1      1.06         0   1.05764
0.932186            -305.688             93705.4

#        20         1      1.06         0   1.04712
0.930279            -303.151             92158.9

#        20         1      1.06         0   1.03681
0.926597            -300.444             90548.3

#        20         1      1.06         0   1.02669
0.924748            -297.985             89076.3

#        20         1      1.06         0   1.01678
0.921733            -295.069             87357.7

#        20         1      1.06         0   1.00705
0.918478            -292.142             85652.3

#        20         1      1.06         0  0.997506
0.91585            -289.546             84149.5

#        20         1      1.06         0  0.988142
0.912641            -286.515             82411.4

#        20         1      1.06         0  0.978953
0.907801            -283.288               80613

#        20         1      1.06         0  0.969932
0.905985            -280.497             79025.1

#        20         1      1.06         0  0.961076
0.902552            -277.356             77289.9

#        20         1      1.06         0  0.952381
0.898819            -274.083             75500.7

#        20         1      1.06         0  0.943841
0.895084            -270.747             73697.4

#        20         1      1.06         0  0.935454
0.890349            -267.406             71929.6

#        20         1      1.06         0  0.927214
0.887595            -264.204             70228.5

#        20         1      1.06         0  0.919118
