#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      0.98         0        10
0.999908            -407.974              166448

#        20         1      0.98         0   9.13242
0.999891            -407.973              166447

#        20         1      0.98         0   8.40336
0.999801            -407.956              166435

#        20         1      0.98         0    7.7821
0.15564            -327.755              107426

#        20         1      0.98         0   7.24638
0.999941             -407.98              166452

#        20         1      0.98         0   6.77966
0.970631             -404.07              163578

#        20         1      0.98         0   6.36943
0.801908            -386.646              150772

#        20         1      0.98         0   6.00601
0.999922            -407.975              166449

#        20         1      0.98         0   5.68182
0.788226            -385.421              149884

#        20         1      0.98         0   5.39084
0.999762            -407.958              166436

#        20         1      0.98         0   5.12821
0.99997            -407.985              166456

#        20         1      0.98         0   4.88998
0.99995            -407.981              166453

#        20         1      0.98         0    4.6729
0.99992            -407.977              166450

#        20         1      0.98         0   4.47427
0.999923            -407.975              166449

#        20         1      0.98         0   4.29185
0.894351            -396.257              157870

#        20         1      0.98         0   4.12371
0.999933            -407.974              166448

#        20         1      0.98         0   3.96825
0.999914            -407.967              166442

#        20         1      0.98         0   3.82409
0.976603            -405.076              164329

#        20         1      0.98         0   3.69004
0.989515            -406.747              165551

#        20         1      0.98         0   3.56506
0.999946            -407.959              166435

#        20         1      0.98         0   3.44828
0.999911            -407.943              166422

#        20         1      0.98         0    3.3389
0.999863            -407.922              166405

#        20         1      0.98         0   3.23625
0.997069            -407.442              166076

#        20         1      0.98         0   3.13972
0.980578            -405.508              164643

#        20         1      0.98         0   3.04878
0.999834            -407.857              166353

#        20         1      0.98         0   2.96296
0.993334            -406.958              165697

#        20         1      0.98         0   2.88184
0.997622            -407.436              166040

#        20         1      0.98         0   2.80505
0.999586            -407.699              166226

#        20         1      0.98         0   2.73224
0.999597             -407.65              166186

#        20         1      0.98         0   2.66312
0.999499            -407.564              166116

#        20         1      0.98         0    2.5974
0.999509             -407.49              166055

#        20         1      0.98         0   2.53485
0.999423              -407.4              165982

#        20         1      0.98         0   2.47525
0.999358            -407.285              165888

#        20         1      0.98         0   2.41838
0.999199            -407.135              165767

#        20         1      0.98         0   2.36407
0.999162            -407.007              165661

#        20         1      0.98         0   2.31214
0.998893            -406.807              165502

#        20         1      0.98         0   2.26244
0.99873            -406.626              165355

#        20         1      0.98         0   2.21484
0.998515            -406.404              165177

#        20         1      0.98         0    2.1692
0.99275            -405.496              164502

#        20         1      0.98         0    2.1254
0.998122            -405.924              164787

#        20         1      0.98         0   2.08333
0.997863            -405.627              164548

#        20         1      0.98         0    2.0429
0.992793            -404.681              163840

#        20         1      0.98         0   2.00401
0.988095            -403.972              163304

#        20         1      0.98         0   1.96657
0.995155            -404.335              163531

#        20         1      0.98         0    1.9305
0.996729            -404.213              163406

#        20         1      0.98         0   1.89573
0.996409            -403.787              163062

#        20         1      0.98         0    1.8622
0.99515            -403.187              162594

#        20         1      0.98         0   1.82983
0.986762            -401.742              161521

#        20         1      0.98         0   1.79856
0.988322             -401.44              161258

#        20         1      0.98         0   1.76835
0.994187            -401.674              161376

#        20         1      0.98         0   1.73913
0.993995            -401.097              160909

#        20         1      0.98         0   1.71086
0.993562            -400.465              160401

#        20         1      0.98         0    1.6835
0.964663            -396.468              157527

#        20         1      0.98         0     1.657
0.991116            -398.903              159177

#        20         1      0.98         0   1.63132
0.991133            -398.245              158646

#        20         1      0.98         0   1.60643
0.990946            -397.512              158057

#        20         1      0.98         0   1.58228
0.99015            -396.678              157398

#        20         1      0.98         0   1.55885
0.989366             -395.75              156666

#        20         1      0.98         0    1.5361
0.988734            -394.911              156002

#        20         1      0.98         0     1.514
0.987581            -393.866              155187

#        20         1      0.98         0   1.49254
0.985239            -392.645              154247

#        20         1      0.98         0   1.47167
0.985925            -391.797              153566

#        20         1      0.98         0   1.45138
0.966329             -388.53              151241

#        20         1      0.98         0   1.43164
0.984087             -389.66              151902

#        20         1      0.98         0   1.41243
0.982544            -388.384              150923

#        20         1      0.98         0   1.39373
0.974654             -386.39              149457

#        20         1      0.98         0   1.37552
0.980831            -385.958              149042

#        20         1      0.98         0   1.35777
0.979498            -384.566              147977

#        20         1      0.98         0   1.34048
0.978253            -383.176              146912

#        20         1      0.98         0   1.32363
0.976532            -381.739              145826

#        20         1      0.98         0   1.30719
0.968997            -379.477              144190

#        20         1      0.98         0   1.29116
0.974148            -378.796              143595

#        20         1      0.98         0   1.27551
0.972895            -377.308              142472

#        20         1      0.98         0   1.26024
0.963913            -374.665              140589

#        20         1      0.98         0   1.24533
0.97004            -374.044              140029

#        20         1      0.98         0   1.23077
0.968502            -372.368              138784

#        20         1      0.98         0   1.21655
0.966709            -370.518              137419

#        20         1      0.98         0   1.20265
0.962994            -368.494              135956

#        20         1      0.98         0   1.18906
0.963435            -366.931              134783

#        20         1      0.98         0   1.17578
0.956505            -364.217              132879

#        20         1      0.98         0   1.16279
0.959814            -363.068              131979

#        20         1      0.98         0   1.15009
0.957792            -360.978              130473

#        20         1      0.98         0   1.13766
0.955906            -359.003              129060

#        20         1      0.98         0   1.12549
0.947598            -356.003              127015

#        20         1      0.98         0   1.11359
0.951889            -354.766              126049

#        20         1      0.98         0   1.10193
0.949552            -352.433              124410

#        20         1      0.98         0   1.09051
0.947671            -350.378              122973

#        20         1      0.98         0   1.07933
0.945378            -348.079              121376

#        20         1      0.98         0   1.06838
0.942124            -345.568              119660

#        20         1      0.98         0   1.05764
0.94063             -343.25              118059

#        20         1      0.98         0   1.04712
0.937177            -340.652              116308

#        20         1      0.98         0   1.03681
0.935187            -338.172              114624

#        20         1      0.98         0   1.02669
0.933155            -335.631              112912

#        20         1      0.98         0   1.01678
0.93048            -333.068              111210

#        20         1      0.98         0   1.00705
0.928108            -330.604              109583

#        20         1      0.98         0  0.997506
